Edicao (PTBR),Edicao (EN),Edicao (Sigla),Card (PT),Card (EN),Quantidade,Qualidade,Idioma,Raridade,Cor,Extras,Card #,Comentario
"A Guerra da Centelha","War of the Spark",war,"Envergamento de Raio","Bolt Bend",1,,,U,R,,115,
"A Guerra da Centelha","War of the Spark",war,"Profeta Incandescente","Burning Prophet",1,,,C,R,,117,
"A Guerra dos Irmaos","The Brothers' War",bro,"Fuga de Loran","Loran's Escape",1,,,C,W,,14,
"A Guerra dos Irmaos","The Brothers' War",bro,"Myrel, Escudo de Argivo","Myrel, Shield of Argive",1,,,M,W,Foil,18,
"A Quinta Aurora","Fifth Dawn",5dn,"Geiser de Mana","Mana Geyser",1,,,C,R,,75,
"A Quinta Aurora","Fifth Dawn",5dn,"Guia da Imortalidade","Beacon of Immortality",1,,,R,W,,6,
"A Saga de Urza","Urza's Saga",us,Catastrofe,Catastrophe,1,,,R,W,,6,
,"Adventures in the Forgotten Realms",afr,"Oswald Torcedobra","Oswald Fiddlebender",1,NM,PTEN,R,W,Foil,28,
,"Adventures in the Forgotten Realms",afr,Xorn,Xorn,1,,,R,R,,167,
,Aetherdrift,dft,,"Monument to Endurance",1,,,R,C,,237,
Alvorecer,Morningtide,mt,"Adiamento Gracioso","Graceful Reprieve",1,,,U,W,,11,
Amonkhet,Amonkhet,akh,"Aproximacao do Segundo Sol","Approach of the Second Sun",1,,,R,W,,4,
,Antiquities,aq,,"Artifact Blast",1,,,C,R,,7,
"As Cavernas Perdidas de Ixalan","The Lost Caverns of Ixalan",lci,"Achar a Mina de Ouro","Hit the Mother Lode",1,,,R,R,,153,
"As Cavernas Perdidas de Ixalan","The Lost Caverns of Ixalan",lci,"Inti, Senescal do Sol","Inti, Seneschal of the Sun",1,,,R,R,,156,
"Ascensao das Trevas","Dark Ascension",dka,"Pilhagem Infiel","Faithless Looting",1,,,C,R,,87,
"Assassinato na Mansao Karlov","Murders at Karlov Manor",mkm,"Exigir Respostas","Demand Answers",1,,,C,R,,122,
"Assassinato na Mansao Karlov Commander","Murders at Karlov Manor Commander",mkc,,"Trouble in Pairs",1,,,R,W,,15,
,"Avatar: The Last Airbender",tla,,"Bender's Waterskin",1,,,C,C,,255,
,"Avatar: The Last Airbender",tla,,"Planetarium of Wan Shi Tong",1,,,M,C,,259,
,"Avatar: The Last Airbender",tla,,"Redirect Lightning",1,,,R,R,,151,
,"Avatar: The Last Airbender",tla,,"Sun-Blessed Peak",1,,,C,L,,280,
,"Avatar: The Last Airbender Eternal",tle,,"Longshot, Rebel Bowman",1,,,U,R,,120,
,Battlebond,bbd,"Sininhos da Vitoria","Victory Chimes",1,,,R,C,,80,
Bloomburrow,Bloomburrow,blb,,"Artist's Talent",1,,,R,R,,124,
Bloomburrow,Bloomburrow,blb,,"Dawn's Truce",1,,,R,W,,9,
Bloomburrow,Bloomburrow,blb,,"Repel Calamity",1,,,U,W,,27,
"Bloomburrow Commander","Bloomburrow Commander",blc,,"Perch Protection",1,,,R,W,,11,
"Campeoes de Kamigawa","Champions of Kamigawa",chk,"Reverter as Areias","Reverse the Sands",1,,,R,W,,41,
"Campeoes de Kamigawa","Champions of Kamigawa",chk,"Ritual Desesperado","Desperate Ritual",1,,,C,R,,163,
"Caos Planar","Planar Chaos",pc,"Espirito-Guia Simio","Simian Spirit Guide",1,,,C,R,,122,
"Caos Planar","Planar Chaos",pc,"Rejeitar o Perverso","Rebuff the Wicked",1,,,U,W,,12,
"Cicatrizes de Mirrodin","Scars of Mirrodin",som,"Bigorna da Semelhanca","Semblance Anvil",1,,,R,C,,201,
,Commander,cmd,"Anel Solar","Sol Ring",1,,,U,C,,261,
,Commander,cmd,"Distorcao Caotica","Chaos Warp",1,,,R,R,,114,
,"Commander 2014",c14,"Mago da Conjuracao Dupla","Dualcaster Mage",1,,,R,R,,34,
,"Commander 2014",c14,"Ornato de Perola","Pearl Medallion",1,,,R,C,,260,
,"Commander 2017",c17,"Protecao de Teferi","Teferi's Protection",1,,,R,W,,8,
,"Commander 2017",c17,"Quebrar o Decoro","Disrupt Decorum",1,,,R,R,,25,
,"Commander 2020",c20,"Brallin, Ginete de Tubarao-celeste","Brallin, Skyshark Rider",1,,,M,R,,4,
,"Commander 2020",c20,"Golpe Defletor","Deflecting Swat",1,,,R,R,,50,
,"Commander 2020",c20,"Manobra Impecavel","Flawless Maneuver",1,,,R,W,,26,
,"Commander 2020",c20,"Patrulheiros dos Confins","Verge Rangers",1,,,R,W,,29,
,"Commander 2020",c20,"Texugossauro Ranzinza","Surly Badgersaur",1,,,R,R,,57,
,"Commander 2021",c21,"Espelho Amaldicoado","Cursed Mirror",1,,,R,R,,50,
,"Commander 2021",c21,"Impeto para a Vitoria","Surge to Victory",1,,,R,R,,58,
,"Commander 2021",c21,"Mapa do Arqueomante","Archaeomancer's Map",1,NM,PTEN,R,W,,12,
,"Commander 2021",c21,"Promessa de Lealdade","Promise of Loyalty",1,,,R,W,,21,
,"Commander 2021",c21,"Refrao Estimulante","Rousing Refrain",1,,,R,R,,56,
,"Commander 2021",c21,"Tecnica Criativa","Creative Technique",1,,,R,R,,49,
,"Commander Legends",cmr,"Acerto de Contas Triunfante","Triumphant Reckoning",1,,,M,W,,52,
,"Commander Legends",cmr,"Erupcao da Alma-ignea","Soulfire Eruption",1,,,M,R,,201,
,"Commander Legends",cmr,"Torrente Vulcanica","Volcanic Torrent",1,,,U,R,,208,
,"Commander Legends",cmr,"Vontade de Akroma","Akroma's Will",1,,,R,W,,3,
,"Commander Legends",cmr,"Vontade de Jeska","Jeska's Will",1,,,R,R,,187,
"Commander Legends: Batalha por Portal de Baldur","Commander Legends: Battle for Baldur's Gate",clb,"Arquivista de Oghma","Archivist of Oghma",1,NM,PTEN,R,W,,4,
"Commander Legends: Batalha por Portal de Baldur","Commander Legends: Battle for Baldur's Gate",clb,"Descida ao Avernus","Descent into Avernus",1,,,R,R,,169,
"Commander Legends: Batalha por Portal de Baldur","Commander Legends: Battle for Baldur's Gate",clb,"Dragao de Cobre Anciao","Ancient Copper Dragon",1,,,M,R,,161,
,"Commander Masters",cmm,"Imposto Territorial","Land Tax",1,,,M,W,,37,
,"Commander Masters",cmm,,"Rise of the Eldrazi",1,,,R,C,,716,
Confluencia,Conflux,con,"Caminho para o Exilio","Path to Exile",1,,,U,W,,15,
Confluencia,Conflux,con,"Pomar Exotico","Exotic Orchard",1,,,R,L,,142,
Confluencia,Conflux,con,"Torre do Relicario","Reliquary Tower",1,,,U,L,,143,
Conjuncao,Planeshift,ps,"Canto de Orim","Orim's Chant",1,,,R,W,,11,
,Conspiracy,cns,,"Treasonous Ogre",1,,,U,R,,36,
"Contos da Terra Media Commander","Tales of Middle-earth Commander",ltc,"Provocar das Ameias","Taunt from the Rampart",1,,,R,M,,71,
"Contos da Terra Media Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Call Forth the Tempest",1,,,R,R,,553,
"Contos da Terra Media Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Galadriel's Dismissal",1,,,R,W,,544,
"Contos da Terra Media Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Olorin's Searing Light",1,,,R,M,,547,
"Contos da Terra Media Commander (Realms and Relics)","Tales of Middle-earth Commander (Realms and Relics)",rrltc,"Isengard, Fortaleza de Saruman // Boseiju, O Que Tudo Protege","Isengard, Saruman's Fortress // Boseiju, Who Shelters All",1,,,M,L,,359,
"Contos da Terra Media Commander (Realms and Relics)","Tales of Middle-earth Commander (Realms and Relics)",rrltc,"Osgiliath, Capital Caida // Refugio Kor","Osgiliath, Fallen Capital // Kor Haven",1,,,M,L,Foil,368,
"Contos Encantados","Enchanting Tales",wot,"Emancipacao Ignea","Fiery Emancipation",1,,,R,R,,42,
,"Core Set 2019",m19,"Apice do Poder","Apex of Power",1,,,M,R,,129,
"Core Set 2021","Core Set 2021",m21,"Salva Vulcanica","Volcanic Salvo",1,,,R,R,,172,
"Core Set 2021","Core Set 2021",m21,"Visao Dupla","Double Vision",1,,,R,R,,142,
"Despertar do Mundo",Worldwake,wwk,"Reacao em Cadeia","Chain Reaction",1,,,R,R,,74,
,"Doctor Who",who,,"Ensnared by the Mara",1,,,R,R,,84,
"Dominaria Unida Commander","Dominaria United Commander",dmc,"O Cutelo Despojador","The Reaver Cleaver",1,,,R,R,,8,
,"Double Masters 2022",2x2,"Mentor do Monasterio","Monastery Mentor",1,,,M,W,,21,
"Dragoes de Tarkir","Dragons of Tarkir",dtk,"Visao Vulcanica","Volcanic Vision",1,,,R,R,,167,
Entardecer,Eventide,eve,"Soberano Pirico","Balefire Liege",1,,,R,M,,132,
,"Eternal Masters",ema,"Espadas em Arados","Swords to Plowshares",1,,,U,W,,32,
Exodo,Exodus,ex,Contricao,Penance,1,,,U,W,,15,
,"Fallen Empires",fe,"Conch Horn","Conch Horn",1,,,R,C,,9,
Fallout,Fallout,pip,,"Veronica, Dissident Scribe",1,,,R,R,,70,
,"FINAL FANTASY",fin,,"Restoration Magic",1,,,U,W,,30,
,"FINAL FANTASY",fin,,"The Fire Crystal",1,,,R,R,,135,
,"FINAL FANTASY Commander",fic,,"Tataru Taru",1,,,R,W,,30,
,"FINAL FANTASY Commander (Scene Box)",sbfic,,"Fated Clash",1,,,R,W,,449,
,"FINAL FANTASY Commander (Through the Ages)",fca,,"Dawn Warriors' Legacy // Mizzix's Mastery",1,,,R,R,,41,
Flagelo,Scourge,sc,"Templo do Falso Deus","Temple of the False God",1,,,U,L,,143,
,"Forgotten Realms Commander",afc,"Empreitada Incauta","Reckless Endeavor",1,,,R,R,,33,
Fortaleza,Stronghold,sh,"Refugio Escondido","Hidden Retreat",1,,,R,W,,51,
,Foundations,fdn,,"Rite of the Dragoncaller",1,,,M,R,,92,
,"Foundations (Starter Collection)",scfdn,"Oculos da Piromante","Pyromancer's Goggles",1,,,M,C,,677,
"Fragmentos de Alara","Shards of Alara",ala,"Cavaleiro da Orquidea Branca","Knight of the White Orchid",1,,,R,W,,16,
"Fragmentos de Alara","Shards of Alara",ala,"Hino Invencivel","Invincible Hymn",1,,,R,W,,14,
,"From the Vault: Exiled",fve,"Tampo de Adivinhacao do Sensei","Sensei's Divining Top",1,,,M,C,,10,
,"Game Night 2022",gn3,"Apreender os Espolios","Seize the Spoils",1,,,C,R,,86,
"Hora da Devastacao","Hour of Devastation",hou,Abrasao,Abrade,1,,,U,R,,83,
"Hora da Devastacao","Hour of Devastation",hou,"Neheb, o Eterno","Neheb, the Eternal",1,,,M,R,,104,
,"Iconic Masters",ima,"Comando Austero","Austere Command",1,,,R,W,,10,
"Ikoria: Terra de Colossos","Ikoria: Lair of Behemoths",iko,"Magistrado de Drannith","Drannith Magistrate",1,,,R,W,,11,
Innistrad,Innistrad,isd,"Ato Blasfemo","Blasphemous Act",1,,,R,R,,130,
Innistrad,Innistrad,isd,"Retiro da Falesia","Clifftop Retreat",1,,,R,L,,238,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Dragao Averneo Manaforme","Manaform Hellkite",1,,,M,R,,170,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Passo do Poente","Sundown Pass",1,,,R,L,,266,
