Pager usage is off.
 target_runtime_rows | hashed_runtime_rows | runtime_missing_hash_rows | hash_mismatch_rows | scope_mismatch_rows | active_needs_review_shadow_rows | backup_rows
---------------------+---------------------+---------------------------+--------------------+---------------------+---------------------------------+-------------
                   9 |                   9 |                         0 |                  0 |                   0 |                               0 |          27
(1 row)

                card_name                |             normalized_name             |                logical_rule_key                 | review_status | execution_status |           oracle_hash            |       expected_oracle_hash       |           battle_model_scope            |                                                                                                                                                                                                                      notes
-----------------------------------------+-----------------------------------------+-------------------------------------------------+---------------+------------------+----------------------------------+----------------------------------+-----------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Fellwar Stone                           | fellwar stone                           | battle_rule_v1:3906ffa3cbf7d3437d68e44e13e10bba | active        | auto             | d63befc8ac40d9a38732f9b5c1a7414a | d63befc8ac40d9a38732f9b5c1a7414a | conditional_opponent_color_mana_rock_v1 | Oracle-reviewed on 2026-06-18 against official Gatherer text: Fellwar Stone taps for one mana of any color that a land an opponent controls could produce. Runtime intentionally models the safe baseline as a live one-mana rock with conditional color flexibility, while exact opponent color derivation remains a tracked refinement.                                                                                                       +
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
 Mana Vault                              | mana vault                              | battle_rule_v1:5a2533694ffd19223d3cde1e25d258ff | active        | auto             | 35e3fd94c8453c0e326033af49ae18c8 | 35e3fd94c8453c0e326033af49ae18c8 | fast_mana_artifact_partial_v1           | Oracle-reviewed on 2026-06-18 against official Gatherer text: Mana Vault taps for three colorless mana, does not untap normally, can be untapped in upkeep for {4}, and pings while tapped. Runtime already models the fast-mana baseline; the untap/upkeep pain policy remains partial and therefore stays active instead of verified.                                                                                                         +
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
 Mox Amber                               | mox amber                               | battle_rule_v1:972703914ee50acd7a4e6f529fea1adf | verified      | auto             | e47b40cf2afc4c9ceac6bf91815da706 | e47b40cf2afc4c9ceac6bf91815da706 | legend_gated_fast_mana_v1               | Oracle-reviewed on 2026-06-17 against official/Scryfall text: Mox Amber taps for one mana of any color among legendary creatures and planeswalkers you control. Runtime must not count it as live opening-hand ramp or active mana without a valid legendary permanent on the battlefield.                                                                                                                                                      +
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
 Scroll Rack                             | scroll rack                             | battle_rule_v1:3b58ff16a7eb52fb05c1bd8517225cd2 | active        | auto             | 8133928f03d5a5a77f2beecfcbd09e30 | 8133928f03d5a5a77f2beecfcbd09e30 | scroll_rack_upkeep_single_exchange_v1   | Oracle-reviewed on 2026-06-17: {1}, {T}, Exile any number of cards from your hand face down, put that many cards from the top of your library into your hand, then put the exiled cards on top in any order. Runtime now supports a low-risk Lorehold-only upkeep slice that exchanges a single high-priority instant/sorcery from hand onto the top for the next first-draw miracle window; full arbitrary exchange sequencing remains pending.+
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
 Seething Song                           | seething song                           | battle_rule_v1:3eb15dc581c6b913158f9b63c023f3d7 | verified      | auto             | ccd492289c6f1c14c8fb7a248d7bbf32 | ccd492289c6f1c14c8fb7a248d7bbf32 | single_shot_red_ritual_v1               | Oracle-reviewed on 2026-06-18 against official Gatherer text: Seething Song adds five red mana immediately and then goes to the graveyard. Runtime should keep it as a one-shot ritual, not a permanent mana source or generic draw placeholder.                                                                                                                                                                                                +
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
 Silence                                 | silence                                 | battle_rule_v1:74b210b77b004a677906e0216d44e445 | verified      | auto             | a0ca3c09a7db091c435ab31adb9c1780 | a0ca3c09a7db091c435ab31adb9c1780 | silence_until_eot_v1                    | Oracle-reviewed on 2026-06-17 against official/Scryfall text: opponents cannot cast spells this turn. Runtime should set the until-end-of-turn silence state, not materialize a battlefield permanent.                                                                                                                                                                                                                                          +
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
 Talisman of Conviction                  | talisman of conviction                  | battle_rule_v1:02133e513da5ea98ac74d32d39b16470 | active        | auto             | d49ceec937367a344a9f0948eea4f8f2 | d49ceec937367a344a9f0948eea4f8f2 | pain_talisman_color_pair_partial_v1     | Oracle-reviewed on 2026-06-18 against official Gatherer text: Talisman of Conviction can tap for colorless freely or for red/white while dealing 1 damage to its controller. Runtime safely models the card as a one-mana rock with tracked pain-color metadata; exact per-tap color-choice and pain sequencing remain partial.                                                                                                                 +
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
 Unexpected Windfall                     | unexpected windfall                     | battle_rule_v1:f9f98ea1925518eea7a7c94c21ef2dc4 | verified      | auto             | 9c4fbe06104051a2e8b1d295d307b26a | 9c4fbe06104051a2e8b1d295d307b26a | discard_draw_create_treasures_v1        | Oracle-reviewed on 2026-06-17 against official/Scryfall text: as an additional cost discard a card, then draw two cards and create two Treasure tokens. Runtime already supports the discard/draw/treasure executor; this reviewed rule prevents the card from degrading into a generic ramp bucket.                                                                                                                                            +
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
 Valakut Awakening // Valakut Stoneforge | valakut awakening // valakut stoneforge | battle_rule_v1:6e1f3b876822abafe1de47610f46858d | verified      | auto             | 22b42fcc181b7aed71f78b2e1e51e887 | 22b42fcc181b7aed71f78b2e1e51e887 | bottom_then_draw_plus_one_mdfc_land_v1  | Oracle-reviewed on 2026-06-17 against official/Scryfall text: front face is the hand-filter instant, back face is Valakut Stoneforge tapped red land. Runtime keeps both faces together so split-name lookups do not degrade into generic draw heuristics.                                                                                                                                                                                      +
                                         |                                         |                                                 |               |                  |                                  |                                  |                                         | PG070: hash-only L2 cleanup; filled oracle_hash from current PostgreSQL cards.oracle_text without changing runtime effect_json.
(9 rows)
