                 metric                 | value
----------------------------------------+-------
 deck_target_cards                      | 7
 target_runtime_rows                    | 8
 target_runtime_missing_hash_rows       | 8
 target_runtime_hash_mismatch_rows      | 0
 target_runtime_live_hash_mismatch_rows | 0
 target_runtime_bad_effect_rows         | 0
 target_runtime_bad_scope_rows          | 0
 backup_candidate_rows                  | 23
 target_deck_cards_missing              | 0
(9 rows)

                  name                   |               card_id                |              oracle_id               |         card_oracle_hash         | mana_cost | cmc |     type_line      | layout | has_faces |                                                                                                                        oracle_text
-----------------------------------------+--------------------------------------+--------------------------------------+----------------------------------+-----------+-----+--------------------+--------+-----------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Fellwar Stone                           | e052e629-239f-49d1-a68f-f678f18e93dc | 95560508-7ac9-4be9-8a3f-3c7d5b52807b | d63befc8ac40d9a38732f9b5c1a7414a | {2}       | 2.0 | Artifact           |        | f         | {T}: Add one mana of any color that a land an opponent controls could produce.
 Mana Vault                              | d2f38c20-79e2-4330-b6ae-ded990a465e4 | 736892cb-a34b-4bb9-b56c-e26e3db207a2 | 35e3fd94c8453c0e326033af49ae18c8 | {1}       | 1.0 | Artifact           |        | f         | This artifact doesn't untap during your untap step. / At the beginning of your upkeep, you may pay {4}. If you do, untap this artifact. / At the beginning of your draw step, if this artifact is tapped, it deals 1 damage to you. / {T}: Add {C}{C}{C}.
 Mox Amber                               | bcd7d52d-b4e2-42e1-9bca-768f1672bc4b | 7a43bd27-fdd8-41f0-9bc4-92568f3408f1 | e47b40cf2afc4c9ceac6bf91815da706 | {0}       | 0.0 | Legendary Artifact |        | f         | {T}: Add one mana of any color among legendary creatures and planeswalkers you control.
 Seething Song                           | b8b37250-ca47-4dcc-a6d9-1675febf2587 | 64bf8929-f5f2-4d50-8667-13b1d007bcfc | ccd492289c6f1c14c8fb7a248d7bbf32 | {2}{R}    | 3.0 | Instant            |        | f         | Add {R}{R}{R}{R}{R}.
 Silence                                 | 6eac5767-386d-4c9e-a7e1-926e43e32e83 | 8aed54cb-d1bb-45ad-adbe-38e55d84ff31 | a0ca3c09a7db091c435ab31adb9c1780 | {W}       | 1.0 | Instant            |        | f         | Your opponents can't cast spells this turn.
 Talisman of Conviction                  | 6a6b4572-5c96-4405-a480-45344904b697 | 6c326439-5620-4ec6-a56a-fe9c3d5d2a46 | d49ceec937367a344a9f0948eea4f8f2 | {2}       | 2.0 | Artifact           |        | f         | {T}: Add {C}. / {T}: Add {R} or {W}. This artifact deals 1 damage to you.
 Valakut Awakening // Valakut Stoneforge | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | ff0ab867-b710-4b1a-baed-95fc3cf68f79 | 22b42fcc181b7aed71f78b2e1e51e887 | {2}{R}    | 3.0 | Instant            |        | f         | Put any number of cards from your hand on the bottom of your library, then draw that many cards plus one.
(7 rows)

