name	type_line	oracle_hash	oracle_text	mana_cost	cmc	color_identity
Avatar's Wrath	Sorcery	21a711291b98f2e66a6d94a6c806945d	Choose up to one target creature, then airbend all other creatures. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.) / Until your next turn, your opponents can't cast spells from anywhere other than their hands. / Exile Avatar's Wrath.	{2}{W}{W}	4.0	{W}
Call Forth the Tempest	Sorcery	5e76c466448cabbfd764e746566b41c1	Cascade, cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order. Then do it again.) / Call Forth the Tempest deals damage to each creature your opponents control equal to the total mana value of other spells you've cast this turn.	{5}{R}{R}{R}	8.0	{R}
Creative Technique	Sorcery	98c26337370ce75f10e3e529a94b8ef3	Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it.) / Shuffle your library, then reveal cards from the top of it until you reveal a nonland card. Exile that card and put the rest on the bottom of your library in a random order. You may cast the exiled card without paying its mana cost.	{4}{R}	5.0	{R}
Dawn's Truce	Instant	9cc2a1e412623ff79367f88b163c5216	Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.) / You and permanents you control gain hexproof until end of turn. If the gift was promised, permanents you control also gain indestructible until end of turn.	{1}{W}	2.0	{W}
Everything Comes to Dust	Sorcery	1d823f07340ed6833c15a9c6065a1742	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) / Exile all creatures except those that share a creature type with a creature that convoked this spell, all artifacts, and all enchantments.	{7}{W}{W}{W}	10.0	{W}
Fated Clash	Sorcery	14445ec4dd93171e67d19058efe24d9c	You may cast this spell as though it had flash if a creature is attacking and a creature is blocking. / Target creature you control and target creature an opponent controls each gain indestructible until end of turn. Then destroy all creatures.	{3}{W}{W}	5.0	{W}
High Noon	Enchantment	dfec584c3cfdf4eb34b8a1e1d4f7da3a	Each player can't cast more than one spell each turn. / {4}{R}, Sacrifice this enchantment: It deals 5 damage to any target.	{1}{W}	2.0	{R,W}
Promise of Loyalty	Sorcery	21dd715160fde6e50b8edc015ce83b0f	Each player puts a vow counter on a creature they control and sacrifices the rest. Each of those creatures can't attack you or planeswalkers you control for as long as it has a vow counter on it.	{4}{W}	5.0	{W}
Starfall Invocation	Sorcery	3429884949eac8ffe09d86dc85bee1ae	Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.) / Destroy all creatures. If the gift was promised, return a creature card put into your graveyard this way to the battlefield under your control.	{3}{W}{W}	5.0	{W}
Winds of Abandon	Sorcery	05e38c4458b7b803d038978b46f11f72	Exile target creature you don't control. For each creature exiled this way, its controller searches their library for a basic land card. Those players put those cards onto the battlefield tapped, then shuffle. / Overload {4}{W}{W} (You may cast this spell for its overload cost. If you do, change "target" in its text to "each.")	{1}{W}	2.0	{W}
(10 rows)
