name	logical_rule_key	source	review_status	execution_status	confidence	rule_version	oracle_hash	effect_json	deck_role_json	notes
Avatar's Wrath	battle_rule_v1:026daaedc48ea11d3349aa05dacee96c	generated	needs_review	review_only	0.550	1		{"cmc": 4.0, "effect": "silence_opponents", "instant": true}	{"effect": "silence_opponents", "timing": "instant", "category": "protection"}	Seeded from known_cards_generated.json; audit before trusting.
Avatar's Wrath	battle_rule_v1:ab2996dfa4abdcbbd20763bfb37c199d	generated	needs_review	review_only	0.550	1		{"cmc": 4.0, "effect": "silence_opponents", "instant": true}	{"effect": "silence_opponents", "timing": "instant", "category": "protection"}	Seeded from known_cards_generated.json; audit before trusting.
Call Forth the Tempest	battle_rule_v1:f7544cbd53f0e83560b5568aa5115943	generated	needs_review	review_only	0.550	1		{"cmc": 8.0, "effect": "board_wipe"}	{"effect": "board_wipe", "category": "wipe"}	Seeded from known_cards_generated.json; audit before trusting.
Call Forth the Tempest	battle_rule_v1:650591170d2627e66333696ec360c17b	curated	verified	auto	1.000	1		{"effect": "damage_wipe", "token_maker": true}	{"effect": "damage_wipe", "category": "wipe"}	Migrated from legacy HANDCRAFTED_KNOWN_CARDS provenance to curated source on 2026-06-17.
Creative Technique	battle_rule_v1:45c2a4f6d6d4930fb4cb54b8fa886bc2	generated	needs_review	review_only	0.550	1		{"cmc": 5.0, "count": 1, "effect": "draw_cards"}	{"effect": "draw_cards", "category": "draw"}	Seeded from known_cards_generated.json; audit before trusting.
Creative Technique	battle_rule_v1:b0ccc811be3022e88f1338ff5dbeb676	generated	needs_review	review_only	0.550	1		{"cmc": 5.0, "count": 1, "effect": "draw_cards"}	{"effect": "draw_cards", "category": "draw"}	Seeded from known_cards_generated.json; audit before trusting.
Dawn's Truce	battle_rule_v1:2bde13981d0bdb3d118a248d1391e471	generated	needs_review	review_only	0.550	1		{"cmc": 2.0, "effect": "indestructible", "instant": true, "duration": 1}	{"effect": "indestructible", "timing": "instant", "category": "protection"}	Seeded from known_cards_generated.json; audit before trusting.
Dawn's Truce	battle_rule_v1:9977234fa8a11ea05ac1292509983e30	generated	needs_review	review_only	0.550	1		{"cmc": 2.0, "effect": "indestructible", "instant": true, "duration": 1}	{"effect": "indestructible", "timing": "instant", "category": "protection"}	Seeded from known_cards_generated.json; audit before trusting.
Everything Comes to Dust	battle_rule_v1:aeb7a6ffb46836976e336823443cd53d	generated	needs_review	review_only	0.550	1		{"cmc": 10.0, "effect": "board_wipe"}	{"effect": "board_wipe", "category": "wipe"}	Seeded from known_cards_generated.json; audit before trusting.
Everything Comes to Dust	battle_rule_v1:e73c68daef28ce8007fecb8ee4159ef6	generated	needs_review	review_only	0.550	1		{"cmc": 10.0, "effect": "board_wipe"}	{"effect": "board_wipe", "category": "wipe"}	Seeded from known_cards_generated.json; audit before trusting.
Fated Clash	battle_rule_v1:84dca9d12c0abf5610fa673e6d82eab8	generated	needs_review	review_only	0.550	1		{"cmc": 5.0, "effect": "board_wipe"}	{"effect": "board_wipe", "category": "wipe"}	Seeded from known_cards_generated.json; audit before trusting.
Fated Clash	battle_rule_v1:8d54214335142fbda9e139f79184cd30	generated	needs_review	review_only	0.550	1		{"cmc": 5.0, "effect": "board_wipe"}	{"effect": "board_wipe", "category": "wipe"}	Seeded from known_cards_generated.json; audit before trusting.
High Noon	battle_rule_v1:8e7da3df51386d58c857a596433f73ea	generated	needs_review	review_only	0.550	1		{"cmc": 2.0, "effect": "remove_creature", "instant": true}	{"effect": "remove_creature", "timing": "instant", "category": "removal"}	Seeded from known_cards_generated.json; audit before trusting.
