        card_name         |     normalized_name      |           oracle_hash            |                logical_rule_key                 |      shadow_handling       | target_card_rows |          canonical_card_id           | existing_rule_rows | expected_rule_rows_before | would_deprecate_shadow_rows
--------------------------+--------------------------+----------------------------------+-------------------------------------------------+----------------------------+------------------+--------------------------------------+--------------------+---------------------------+-----------------------------
 Adamant Will             | adamant will             | 56860f08b888c32bed2c636a0756b5bc | battle_rule_v1:90cc100ccda9438c7ac48cc560cb6f3a | deprecate_nonmatching_rows |                1 | bafdd882-8488-4f27-9b24-105c9af46486 |                  0 |                         0 |                           0
 Alabaster Mage           | alabaster mage           | f38f948b50c037941ca79c15b07d8815 | battle_rule_v1:1d4f0780d5dd542aa811296cb7294b1d | deprecate_nonmatching_rows |                1 | 8fe481a6-35c8-43cd-94b4-55ae08a19f5d |                  0 |                         0 |                           0
 Angelic Blessing         | angelic blessing         | b7419854b72870c440a57ce3eed78317 | battle_rule_v1:96865d3297094468cd28c05e7369312e | deprecate_nonmatching_rows |                1 | 0cf9157c-966b-4396-8cbe-260801504541 |                  0 |                         0 |                           0
 Axgard Cavalry           | axgard cavalry           | 5785676441484c00207f2484c65243ac | battle_rule_v1:390389de6d07280cec26bbd1d23eea79 | deprecate_nonmatching_rows |                1 | be063862-e711-4a3e-97db-f64e3caf32cb |                  0 |                         0 |                           0
 Beaming Defiance         | beaming defiance         | 7269bfd50afd14f85f9cd70cf591d885 | battle_rule_v1:f66305ab0cad38968db20f6d777544e8 | deprecate_nonmatching_rows |                1 | 81cc0ce8-be28-411c-9a2c-c0db6252de25 |                  0 |                         0 |                           0
 Bloodlust Inciter        | bloodlust inciter        | 5785676441484c00207f2484c65243ac | battle_rule_v1:390389de6d07280cec26bbd1d23eea79 | deprecate_nonmatching_rows |                1 | 9918b63f-37db-463f-bd98-14aafef718a1 |                  0 |                         0 |                           0
 Blossoming Defense       | blossoming defense       | 7269bfd50afd14f85f9cd70cf591d885 | battle_rule_v1:f66305ab0cad38968db20f6d777544e8 | deprecate_nonmatching_rows |                1 | a8e10782-e347-4a21-9b2b-4944b7318277 |                  0 |                         0 |                           0
 Brute Strength           | brute strength           | 02912ee67c730bbd73342cd1a0eb3d58 | battle_rule_v1:cd628c49a7057e7865a282297ac4a5a9 | deprecate_nonmatching_rows |                1 | ac752c92-49b9-40bb-8df6-4dd4151c4abf |                  0 |                         0 |                           0
 Chase Inspiration        | chase inspiration        | fea19f543f5b93a83f8994aeea7bcd00 | battle_rule_v1:1700e1e7565591c3def06b8342aceb24 | deprecate_nonmatching_rows |                1 | 21e61bfa-2848-4598-9655-03be5c8cae97 |                  0 |                         0 |                           0
