      card_name       |   normalized_name    |                logical_rule_key                 | promoted_rule_rows | promoted_verified_auto_rows | promoted_oracle_hash_rows | backup_rows
----------------------+----------------------+-------------------------------------------------+--------------------+-----------------------------+---------------------------+-------------
 Aven Archer          | aven archer          | battle_rule_v1:d5341d706939b1fc99fe1350dbdd2caf |                  1 |                           1 |                         1 |           0
 Crimson Manticore    | crimson manticore    | battle_rule_v1:ee50af001d948901a4759d98c7d953ce |                  1 |                           1 |                         1 |           0
 Cunning Sparkmage    | cunning sparkmage    | battle_rule_v1:7b5a3290b2e56ffd19c2c48fee98f942 |                  1 |                           1 |                         1 |           0
 Dive Bomber          | dive bomber          | battle_rule_v1:3f77c0ef112c89cbb058590822479815 |                  1 |                           1 |                         1 |           0
 Divebomber Griffin   | divebomber griffin   | battle_rule_v1:54f6bc38c4a561eeff5a274fa0cc70df |                  1 |                           1 |                         1 |           0
 Fanatical Firebrand  | fanatical firebrand  | battle_rule_v1:0c95d595a2b1ecdca52e311eafdcd41e |                  1 |                           1 |                         1 |           0
 Jeska, Warrior Adept | jeska, warrior adept | battle_rule_v1:e67c398e703075e22be0534a11980b0b |                  1 |                           1 |                         1 |           0
 Kamahl, Pit Fighter  | kamahl, pit fighter  | battle_rule_v1:dee9caed362118576a9ab517015ff8a1 |                  1 |                           1 |                         1 |           0
 Mawcor               | mawcor               | battle_rule_v1:27f6e8dab5d9321be5e187a4da518020 |                  1 |                           1 |                         1 |           0
 Sarpadian Simulacrum | sarpadian simulacrum | battle_rule_v1:ab61cb1000afb2936a59c73032efb313 |                  1 |                           1 |                         1 |           0
 Scaldkin             | scaldkin             | battle_rule_v1:fdbdbe2d5014764c6160e973ab225441 |                  1 |                           1 |                         1 |           0
 Shivan Hellkite      | shivan hellkite      | battle_rule_v1:94d9023b123f3927629f869a9e607823 |                  1 |                           1 |                         1 |           0
 Skyway Sniper        | skyway sniper        | battle_rule_v1:de982ce5b9578bbf895fec4943505a19 |                  1 |                           1 |                         1 |           0
 Stinging Barrier     | stinging barrier     | battle_rule_v1:60361af04d9fb9739c31570ac303ef42 |                  1 |                           1 |                         1 |           0
 Storm Spirit         | storm spirit         | battle_rule_v1:49c7599b3fd5e13be598e31a0c1cdcb0 |                  1 |                           1 |                         1 |           0
 Thornwind Faeries    | thornwind faeries    | battle_rule_v1:27f6e8dab5d9321be5e187a4da518020 |                  1 |                           1 |                         1 |           0
 Vulshok Sorcerer     | vulshok sorcerer     | battle_rule_v1:7b5a3290b2e56ffd19c2c48fee98f942 |                  1 |                           1 |                         1 |           0
(17 rows)
