      card_name       |   normalized_name    |           oracle_hash            |                logical_rule_key                 |      shadow_handling       | target_card_rows |          canonical_card_id           | existing_rule_rows | expected_rule_rows_before | would_deprecate_shadow_rows
----------------------+----------------------+----------------------------------+-------------------------------------------------+----------------------------+------------------+--------------------------------------+--------------------+---------------------------+-----------------------------
 Aven Archer          | aven archer          | ff0959005adcc5916ebbfbc68019084a | battle_rule_v1:d5341d706939b1fc99fe1350dbdd2caf | deprecate_nonmatching_rows |                1 | 4639d543-054e-494b-b3cd-742b45353e72 |                  0 |                         0 |                           0
 Crimson Manticore    | crimson manticore    | c60843c06379a65cda17b11d8722038b | battle_rule_v1:ee50af001d948901a4759d98c7d953ce | deprecate_nonmatching_rows |                1 | 69790647-572a-45a2-a100-667e426a5257 |                  0 |                         0 |                           0
 Cunning Sparkmage    | cunning sparkmage    | f715d6258f6601d0484e65b349490531 | battle_rule_v1:7b5a3290b2e56ffd19c2c48fee98f942 | deprecate_nonmatching_rows |                1 | 5d34807d-bb32-4e5f-885f-808766e3c40e |                  0 |                         0 |                           0
 Dive Bomber          | dive bomber          | b145a239769c3f9dda021b8278e18bf0 | battle_rule_v1:3f77c0ef112c89cbb058590822479815 | deprecate_nonmatching_rows |                1 | 8766f241-01f1-4398-ae5b-146dfffa7b33 |                  0 |                         0 |                           0
 Divebomber Griffin   | divebomber griffin   | aad57b7ada0732ea25b1b7532381024c | battle_rule_v1:54f6bc38c4a561eeff5a274fa0cc70df | deprecate_nonmatching_rows |                1 | e38c76cf-4c51-4e4c-9e4a-64db40a3dd48 |                  0 |                         0 |                           0
 Fanatical Firebrand  | fanatical firebrand  | d38a860ef72dda97a39593feb215174e | battle_rule_v1:0c95d595a2b1ecdca52e311eafdcd41e | deprecate_nonmatching_rows |                1 | c133660f-bf86-4da1-97da-fb7175f81d6e |                  0 |                         0 |                           0
 Jeska, Warrior Adept | jeska, warrior adept | 2e5f88dd30b01f820f05e7a5e5f5cc42 | battle_rule_v1:e67c398e703075e22be0534a11980b0b | deprecate_nonmatching_rows |                1 | 5c2de9bf-3eea-4e79-a678-ca1400cae357 |                  0 |                         0 |                           0
 Kamahl, Pit Fighter  | kamahl, pit fighter  | 8d8b4512f4c5a8aa733e5eeb9a5d2083 | battle_rule_v1:dee9caed362118576a9ab517015ff8a1 | deprecate_nonmatching_rows |                1 | 1def75ac-c804-4303-b13d-ae697b933dc6 |                  0 |                         0 |                           0
 Mawcor               | mawcor               | 56ce2fe4091f1171025effc171272525 | battle_rule_v1:27f6e8dab5d9321be5e187a4da518020 | deprecate_nonmatching_rows |                1 | 833d0144-a87b-4c1b-9de7-a01a02c32913 |                  0 |                         0 |                           0
 Sarpadian Simulacrum | sarpadian simulacrum | 77dde89d00fd54b395c81e156fd224ed | battle_rule_v1:ab61cb1000afb2936a59c73032efb313 | deprecate_nonmatching_rows |                1 | 0f2d1208-dedd-49e7-9715-820f807980dd |                  0 |                         0 |                           0
 Scaldkin             | scaldkin             | 5a52e3fd978ee7083641b5b52d8c0645 | battle_rule_v1:fdbdbe2d5014764c6160e973ab225441 | deprecate_nonmatching_rows |                1 | 24ed113b-abbf-4357-b33d-c80ce197d4b6 |                  0 |                         0 |                           0
 Shivan Hellkite      | shivan hellkite      | 37573976ed48c984160657762532e910 | battle_rule_v1:94d9023b123f3927629f869a9e607823 | deprecate_nonmatching_rows |                1 | cdfcb21b-d268-4c7a-9af9-94d8afe4894c |                  0 |                         0 |                           0
 Skyway Sniper        | skyway sniper        | 0ac25ffabfd8c18e6ec16015241d5477 | battle_rule_v1:de982ce5b9578bbf895fec4943505a19 | deprecate_nonmatching_rows |                1 | a33f7bbe-9a4b-458f-8e3e-3ebc7b75fe79 |                  0 |                         0 |                           0
 Stinging Barrier     | stinging barrier     | 41590c21871cd0bd64a11bab406c595b | battle_rule_v1:60361af04d9fb9739c31570ac303ef42 | deprecate_nonmatching_rows |                1 | 47bed9b5-707a-41d6-a3b0-5f1f40123a71 |                  0 |                         0 |                           0
 Storm Spirit         | storm spirit         | bb0c8293a45260ecd482ae046012b37c | battle_rule_v1:49c7599b3fd5e13be598e31a0c1cdcb0 | deprecate_nonmatching_rows |                1 | bb719f1e-4f4a-4f8f-9eaf-32d0683ec6cd |                  0 |                         0 |                           0
 Thornwind Faeries    | thornwind faeries    | 56ce2fe4091f1171025effc171272525 | battle_rule_v1:27f6e8dab5d9321be5e187a4da518020 | deprecate_nonmatching_rows |                1 | dd6f9cdf-b50c-4dbc-9224-8b58f5a6a16d |                  0 |                         0 |                           0
 Vulshok Sorcerer     | vulshok sorcerer     | f715d6258f6601d0484e65b349490531 | battle_rule_v1:7b5a3290b2e56ffd19c2c48fee98f942 | deprecate_nonmatching_rows |                1 | dc1e9396-ab49-498e-b5fc-eedb1de1d334 |                  0 |                         0 |                           0
(17 rows)
