      card_name       |   normalized_name    |                logical_rule_key                 | promoted_rule_rows | promoted_verified_auto_rows | promoted_oracle_hash_rows | backup_rows
----------------------+----------------------+-------------------------------------------------+--------------------+-----------------------------+---------------------------+-------------
 Abzan Banner         | abzan banner         | battle_rule_v1:85212313c2211c41817801102d41afb8 |                  1 |                           1 |                         1 |           2
 Azorius Cluestone    | azorius cluestone    | battle_rule_v1:441952312f2d6f7b3177d3ab66fe4240 |                  1 |                           1 |                         1 |           2
 Boros Cluestone      | boros cluestone      | battle_rule_v1:cdc85b56b14519d2a0032e095ff3d27e |                  1 |                           1 |                         1 |           2
 Dimir Cluestone      | dimir cluestone      | battle_rule_v1:1866d98b29bd5b3bb9cb9272fdf0af91 |                  1 |                           1 |                         1 |           2
 Golgari Cluestone    | golgari cluestone    | battle_rule_v1:dfbf6e95f3f384a5fbdf00409cb11019 |                  1 |                           1 |                         1 |           2
 Gruul Cluestone      | gruul cluestone      | battle_rule_v1:d4bcebebd6e5a1d6511e5e0b5727a075 |                  1 |                           1 |                         1 |           2
 Heart Warden         | heart warden         | battle_rule_v1:5d0dd0a807e6e5792cf7937fb84ca8ed |                  1 |                           1 |                         1 |           2
 Izzet Cluestone      | izzet cluestone      | battle_rule_v1:10adf5f12fd808b1c9ed003168e5965f |                  1 |                           1 |                         1 |           2
 Jeskai Banner        | jeskai banner        | battle_rule_v1:87d0cd4c67b1a35e64e7801c1efc57e6 |                  1 |                           1 |                         1 |           2
 Letter of Acceptance | letter of acceptance | battle_rule_v1:98e4c414b9cc60fc71f708052546c3ff |                  1 |                           1 |                         1 |           2
 Mardu Banner         | mardu banner         | battle_rule_v1:a373222d2290e964fea3a2144b7eab4e |                  1 |                           1 |                         1 |           2
 Orzhov Cluestone     | orzhov cluestone     | battle_rule_v1:15dcdaa4f480ac0b903c50dd6673c4d8 |                  1 |                           1 |                         1 |           2
 Rakdos Cluestone     | rakdos cluestone     | battle_rule_v1:995c17e11f2af48b233f794373604230 |                  1 |                           1 |                         1 |           2
 Selesnya Cluestone   | selesnya cluestone   | battle_rule_v1:5a49fc9f7bd4749e6f2f93d86ef7adbd |                  1 |                           1 |                         1 |           2
 Simic Cluestone      | simic cluestone      | battle_rule_v1:3ee98e425f3fed1c194f60d9505ee131 |                  1 |                           1 |                         1 |           2
 Sultai Banner        | sultai banner        | battle_rule_v1:9db40bfdbdc7e1a6d3a8cb3526f8e853 |                  1 |                           1 |                         1 |           2
 Temur Banner         | temur banner         | battle_rule_v1:8668ceaacc2564da0a259c7012e88416 |                  1 |                           1 |                         1 |           2
(17 rows)
