      card_name       |   normalized_name    |           oracle_hash            |                logical_rule_key                 |      shadow_handling       | target_card_rows |          canonical_card_id           | existing_rule_rows | expected_rule_rows_before | would_deprecate_shadow_rows
----------------------+----------------------+----------------------------------+-------------------------------------------------+----------------------------+------------------+--------------------------------------+--------------------+---------------------------+-----------------------------
 Abzan Banner         | abzan banner         | ec03bbadf90bcef02c84811a5d3db526 | battle_rule_v1:85212313c2211c41817801102d41afb8 | deprecate_nonmatching_rows |                1 | 18674326-f36e-4e34-95b9-a475af856e16 |                  0 |                         0 |                           0
 Azorius Cluestone    | azorius cluestone    | a4b4efd970d8d67cc9c13f1eaa34aaaf | battle_rule_v1:441952312f2d6f7b3177d3ab66fe4240 | deprecate_nonmatching_rows |                1 | 233a32b7-07a9-4efa-a042-1e46b63a1f1e |                  0 |                         0 |                           0
 Boros Cluestone      | boros cluestone      | 07eadee3502d4be339e42db63126ca47 | battle_rule_v1:cdc85b56b14519d2a0032e095ff3d27e | deprecate_nonmatching_rows |                1 | 186ae820-beae-4b58-a3ff-e713107c59b0 |                  2 |                         0 |                           2
 Dimir Cluestone      | dimir cluestone      | 7c64ac60489fce2677282947484e6edd | battle_rule_v1:1866d98b29bd5b3bb9cb9272fdf0af91 | deprecate_nonmatching_rows |                1 | da78916a-d10c-449f-95d0-5faa0be72ad1 |                  0 |                         0 |                           0
 Golgari Cluestone    | golgari cluestone    | df06f25688dd07b09a8ba20be81f9764 | battle_rule_v1:dfbf6e95f3f384a5fbdf00409cb11019 | deprecate_nonmatching_rows |                1 | 130d5061-0644-45c1-ba34-f4662c2a12df |                  0 |                         0 |                           0
 Gruul Cluestone      | gruul cluestone      | aeba79348e406d5bccda739b06154f86 | battle_rule_v1:d4bcebebd6e5a1d6511e5e0b5727a075 | deprecate_nonmatching_rows |                1 | 3fc1c389-e609-488a-b007-209c2f8cee40 |                  0 |                         0 |                           0
 Heart Warden         | heart warden         | 42de036721f0f404800fcd7739c85a30 | battle_rule_v1:5d0dd0a807e6e5792cf7937fb84ca8ed | deprecate_nonmatching_rows |                1 | 30f434b2-c4a0-4a63-a285-f5f954fac620 |                  0 |                         0 |                           0
 Izzet Cluestone      | izzet cluestone      | 89d1b53c94e0bcabb4d391adfa000384 | battle_rule_v1:10adf5f12fd808b1c9ed003168e5965f | deprecate_nonmatching_rows |                1 | 5f7c5ab5-0c18-4679-a5da-0a90a6fadbb4 |                  0 |                         0 |                           0
 Jeskai Banner        | jeskai banner        | b47b6f42efd194958cc14355634e62a5 | battle_rule_v1:87d0cd4c67b1a35e64e7801c1efc57e6 | deprecate_nonmatching_rows |                1 | 5bdd35f5-25f1-4224-94de-0c64af1314d5 |                  0 |                         0 |                           0
 Letter of Acceptance | letter of acceptance | fd95212c755fb5ad2d76b7c7ed3e00f8 | battle_rule_v1:98e4c414b9cc60fc71f708052546c3ff | deprecate_nonmatching_rows |                1 | cd2cfb7b-d77b-435a-8db5-68828f561147 |                  0 |                         0 |                           0
 Mardu Banner         | mardu banner         | 2bb8b176635abec53ec909f9d8334a2a | battle_rule_v1:a373222d2290e964fea3a2144b7eab4e | deprecate_nonmatching_rows |                1 | 6ba35051-2aaa-4ca2-8567-c609ce041962 |                  0 |                         0 |                           0
 Orzhov Cluestone     | orzhov cluestone     | 7a065b49fef4847057e8707d16ea48ae | battle_rule_v1:15dcdaa4f480ac0b903c50dd6673c4d8 | deprecate_nonmatching_rows |                1 | 11f89785-e6b7-4394-819b-93089c302230 |                  0 |                         0 |                           0
 Rakdos Cluestone     | rakdos cluestone     | 2b454033e5083e6ab36383deb13cbeed | battle_rule_v1:995c17e11f2af48b233f794373604230 | deprecate_nonmatching_rows |                1 | 6a9a054d-1187-458c-82e7-0b773428734e |                  0 |                         0 |                           0
 Selesnya Cluestone   | selesnya cluestone   | 7c26f5f46bebe3755b3c62fbe9821928 | battle_rule_v1:5a49fc9f7bd4749e6f2f93d86ef7adbd | deprecate_nonmatching_rows |                1 | 1eae5715-6b8f-4b33-9d45-4d90ccf5f32e |                  0 |                         0 |                           0
 Simic Cluestone      | simic cluestone      | 1978300fb578c052c82a3430a1588874 | battle_rule_v1:3ee98e425f3fed1c194f60d9505ee131 | deprecate_nonmatching_rows |                1 | fbc8c122-511f-47fc-97bb-0902e2583dc4 |                  0 |                         0 |                           0
 Sultai Banner        | sultai banner        | 86c8abb7a3d399985dc55b82de1e8fa2 | battle_rule_v1:9db40bfdbdc7e1a6d3a8cb3526f8e853 | deprecate_nonmatching_rows |                1 | 434634c3-6869-4fe8-9519-2190f6e47329 |                  0 |                         0 |                           0
 Temur Banner         | temur banner         | 77fa02fad757ea256a213f37dc698611 | battle_rule_v1:8668ceaacc2564da0a259c7012e88416 | deprecate_nonmatching_rows |                1 | 82308ee4-d96a-4256-810c-7b0ef270981b |                  0 |                         0 |                           0
(17 rows)
