                  card_name                  |               normalized_name               |                logical_rule_key                 | promoted_rule_rows | promoted_verified_auto_rows | promoted_oracle_hash_rows | backup_rows 
---------------------------------------------+---------------------------------------------+-------------------------------------------------+--------------------+-----------------------------+---------------------------+-------------
 Aetheric Amplifier                          | aetheric amplifier                          | battle_rule_v1:502dfefc50b843a5d2e74c532bcc8c73 |                  1 |                           1 |                         1 |          26
 Agility Bobblehead                          | agility bobblehead                          | battle_rule_v1:37f2bca6cab49aabc2d46393cebcde7c |                  1 |                           1 |                         1 |          26
 Ancient Cornucopia                          | ancient cornucopia                          | battle_rule_v1:4703e4c9151e7c1c263d85f89f9ac852 |                  1 |                           1 |                         1 |          26
 Arc Reactor                                 | arc reactor                                 | battle_rule_v1:8fb0857a957bdbc6678ac0f2d74a2ecc |                  1 |                           1 |                         1 |          26
 Arixmethes, Slumbering Isle                 | arixmethes, slumbering isle                 | battle_rule_v1:e38b296fb40bb7cc7ec45b261a98c9ae |                  1 |                           1 |                         1 |          26
 Armored Scrapgorger                         | armored scrapgorger                         | battle_rule_v1:e69094b295a4d4277c11beb8cb471a0e |                  1 |                           1 |                         1 |          26
 Atarka Monument                             | atarka monument                             | battle_rule_v1:3c5f77b352e8e6464283f430495f3874 |                  1 |                           1 |                         1 |          26
 Azorius Keyrune                             | azorius keyrune                             | battle_rule_v1:caf09952e4a3ccca49e5bde51e4f30ba |                  1 |                           1 |                         1 |          26
 Bandit's Haul                               | bandit's haul                               | battle_rule_v1:8334a4cf3fd678c4af9da1c48b1d76a8 |                  1 |                           1 |                         1 |          26
 Bonder's Ornament                           | bonder's ornament                           | battle_rule_v1:8374caffe21b566c3c49f2059e01b71a |                  1 |                           1 |                         1 |          26
 Boros Keyrune                               | boros keyrune                               | battle_rule_v1:54e1e30b80600e4bd0d97aec628a741a |                  1 |                           1 |                         1 |          26
 Bounty Board                                | bounty board                                | battle_rule_v1:c9f7574445b6a9d978ad244a363f298a |                  1 |                           1 |                         1 |          26
