                  card_name                  |               normalized_name               |           oracle_hash            |                logical_rule_key                 |      shadow_handling       | target_card_rows |          canonical_card_id           | existing_rule_rows | expected_rule_rows_before | would_deprecate_shadow_rows 
---------------------------------------------+---------------------------------------------+----------------------------------+-------------------------------------------------+----------------------------+------------------+--------------------------------------+--------------------+---------------------------+-----------------------------
 Aetheric Amplifier                          | aetheric amplifier                          | 1031f82aeec88eb2920706900bdf3582 | battle_rule_v1:502dfefc50b843a5d2e74c532bcc8c73 | deprecate_nonmatching_rows |                1 | a98ba1a2-54f4-40e6-90ef-d75789372470 |                  0 |                         0 |                           0
 Agility Bobblehead                          | agility bobblehead                          | ac07bbe82043217928443ac6eb3bbd2f | battle_rule_v1:37f2bca6cab49aabc2d46393cebcde7c | deprecate_nonmatching_rows |                1 | 169e093e-acc9-4ff8-8307-819e4009fb22 |                  0 |                         0 |                           0
 Ancient Cornucopia                          | ancient cornucopia                          | aa34293e586e2d1b6fed7882dcc779ab | battle_rule_v1:4703e4c9151e7c1c263d85f89f9ac852 | deprecate_nonmatching_rows |                1 | 53969c3a-5b43-4afd-8a52-c57963504ca2 |                  0 |                         0 |                           0
 Arc Reactor                                 | arc reactor                                 | b9bfbf21f2ac68e58c641cc9f6677812 | battle_rule_v1:8fb0857a957bdbc6678ac0f2d74a2ecc | deprecate_nonmatching_rows |                1 | 9de066ed-e37f-45a7-9625-840e85ee9f1e |                  0 |                         0 |                           0
 Arixmethes, Slumbering Isle                 | arixmethes, slumbering isle                 | 81d95b8244eee7d322f34febc8d24acf | battle_rule_v1:e38b296fb40bb7cc7ec45b261a98c9ae | deprecate_nonmatching_rows |                1 | 85a83f49-eecd-4d1b-bca0-4122c650ef4d |                  2 |                         0 |                           2
 Armored Scrapgorger                         | armored scrapgorger                         | dbbe9ac1f097136f08e656f824b0ccbc | battle_rule_v1:e69094b295a4d4277c11beb8cb471a0e | deprecate_nonmatching_rows |                1 | 74c5735c-e195-4971-9f4a-4fa1b5ac0143 |                  0 |                         0 |                           0
 Atarka Monument                             | atarka monument                             | 0665fb0c322899528b8a7284bf3555a8 | battle_rule_v1:3c5f77b352e8e6464283f430495f3874 | deprecate_nonmatching_rows |                1 | d207f106-ba7c-456d-9aef-5d64695886c5 |                  0 |                         0 |                           0
 Azorius Keyrune                             | azorius keyrune                             | 6fc5743de9a018bb398b03faa083d070 | battle_rule_v1:caf09952e4a3ccca49e5bde51e4f30ba | deprecate_nonmatching_rows |                1 | 7c184616-9a9c-491c-a2e6-c65855570bd7 |                  0 |                         0 |                           0
 Bandit's Haul                               | bandit's haul                               | 2239be53439dfb92159dd68c34823cd6 | battle_rule_v1:8334a4cf3fd678c4af9da1c48b1d76a8 | deprecate_nonmatching_rows |                1 | 06e85178-f03c-4437-91c8-13e1f4c7e29d |                  0 |                         0 |                           0
 Bonder's Ornament                           | bonder's ornament                           | 883017e7d16b47258c945b0bab096c44 | battle_rule_v1:8374caffe21b566c3c49f2059e01b71a | deprecate_nonmatching_rows |                1 | 47f8a05a-c69e-4dfe-ae01-324c062d2841 |                  0 |                         0 |                           0
 Boros Keyrune                               | boros keyrune                               | c4d1e5ecb58cf48962f47623454538da | battle_rule_v1:54e1e30b80600e4bd0d97aec628a741a | deprecate_nonmatching_rows |                1 | ba2345f8-43d0-4d0a-a830-c6bc3b05524e |                  0 |                         0 |                           0
 Bounty Board                                | bounty board                                | 99286212cc81fb0ee6da33554ac5253f | battle_rule_v1:c9f7574445b6a9d978ad244a363f298a | deprecate_nonmatching_rows |                1 | 3f31a522-94f3-41e3-8f2a-20339fd482a3 |                  0 |                         0 |                           0
 Bronze Walrus                               | bronze walrus                               | da1049d7974fd73155a194aef7d010bb | battle_rule_v1:b16868a806d66cc15edbab5db7321d70 | deprecate_nonmatching_rows |                1 | 8f384ea4-403e-42f7-8135-ff3d8a87a0a1 |                  0 |                         0 |                           0
 Bugenhagen, Wise Elder                      | bugenhagen, wise elder                      | 478a0f67613b90a319b6ec47f3074ff0 | battle_rule_v1:685496ca5c940607dbf05224411fde9e | deprecate_nonmatching_rows |                1 | ba2632e7-a898-4bdf-acd1-6d9964c79fc8 |                  0 |                         0 |                           0
 Canopy Tactician                            | canopy tactician                            | d535d3f723fc7ba82c97d4e3a4958242 | battle_rule_v1:7854c5984172f30e5cbbff518fe011fa | deprecate_nonmatching_rows |                1 | b6806bdf-eb67-4a8b-9731-955d2cc5e6a8 |                  0 |                         0 |                           0
 Centaur Nurturer                            | centaur nurturer                            | 60177eb1e0001335e4ce501b0076503e | battle_rule_v1:6d553988a25ab6b8b1d620d891f33964 | deprecate_nonmatching_rows |                1 | 945aa909-8f84-49fe-b08e-0c2bb34ab3a3 |                  0 |                         0 |                           0
 Ceta Disciple                               | ceta disciple                               | 8ffdd2bbdf1ddfcc9bdafdfa6dec0a6a | battle_rule_v1:a76cf15005eaf68735083be6355a75fe | deprecate_nonmatching_rows |                1 | b67d712d-0fb2-4e0f-a624-725ea2e14365 |                  0 |                         0 |                           0
 Chronatog Totem                             | chronatog totem                             | 1b4e150175daa8937bc356c81fb421c5 | battle_rule_v1:9c1adc19b36d8c321d53bfd5a2999e1c | deprecate_nonmatching_rows |                1 | eaa51637-5c2a-4039-a628-411e35254326 |                  0 |                         0 |                           0
 Crossroads Candleguide                      | crossroads candleguide                      | ad6461225ff97082d17c534cc3aa6a87 | battle_rule_v1:060bef5aafe8a3f4eab54d0033db00bc | deprecate_nonmatching_rows |                1 | 5a7072ce-37fa-4967-9ae4-02d193ec307a |                  0 |                         0 |                           0
 Crystal Skull, Isu Spyglass                 | crystal skull, isu spyglass                 | b572ba71d0b2bbef491d68eacd532f54 | battle_rule_v1:d750fbdfc6e6bb778848127f5d8b7c63 | deprecate_nonmatching_rows |                1 | e37c4992-d700-423d-9f6f-db1cb49985c5 |                  2 |                         0 |                           2
