        card_name         |     normalized_name      |           oracle_hash            |                logical_rule_key                 |      shadow_handling       | target_card_rows |          canonical_card_id           | existing_rule_rows | expected_rule_rows_before | would_deprecate_shadow_rows 
--------------------------+--------------------------+----------------------------------+-------------------------------------------------+----------------------------+------------------+--------------------------------------+--------------------+---------------------------+-----------------------------
 Bastion Mastodon         | bastion mastodon         | e18505cc67aa2f4287d8c0d501280089 | battle_rule_v1:b59702d6b24ef10cfb35b8fc05141e5a | deprecate_nonmatching_rows |                1 | 30bf33bd-312e-4857-9fd4-333d4917eabc |                  0 |                         0 |                           0
 Bladed Sentinel          | bladed sentinel          | e18505cc67aa2f4287d8c0d501280089 | battle_rule_v1:b59702d6b24ef10cfb35b8fc05141e5a | deprecate_nonmatching_rows |                1 | 503b9bbc-616d-42e8-a717-f0165dd2c8a2 |                  0 |                         0 |                           0
 Cabaretti Initiate       | cabaretti initiate       | f2e0f08761be9be3580cbd096693d009 | battle_rule_v1:70662d33af983f49e3efe6be4edd2ea3 | deprecate_nonmatching_rows |                1 | 36d170f9-3cc8-4b9a-9796-27fa47b5ba4e |                  0 |                         0 |                           0
 Cobalt Golem             | cobalt golem             | 81c5540a254ffcb0393609a1323a27cb | battle_rule_v1:4229b46a2d055286677776058710c9a0 | deprecate_nonmatching_rows |                1 | 4106d52c-5843-413d-a42f-e5a4bbfc8dca |                  0 |                         0 |                           0
 Disciple of the Old Ways | disciple of the old ways | 86fe9a67ca3db304ec007afc3cc71c13 | battle_rule_v1:19e21f69b210fc58f573520fe5de1209 | deprecate_nonmatching_rows |                1 | a4b76c75-ea00-4479-95b5-23a7304e1dbf |                  0 |                         0 |                           0
 Dukhara Peafowl          | dukhara peafowl          | f01cbde60ca30a19b5a3dd596f5f2205 | battle_rule_v1:9b74f37395fab7ba2c0a30d1fe8d99cf | deprecate_nonmatching_rows |                1 | bfc9c47f-ab0f-4774-afe6-a52ff6ef8afd |                  0 |                         0 |                           0
 Fallaji Chaindancer      | fallaji chaindancer      | 8b77ea4715a42c999c62e176ddc2915d | battle_rule_v1:f657df51464c9b553e5d1f20e9919ef3 | deprecate_nonmatching_rows |                1 | 6623db54-a9f7-4b64-830e-79fa12ef969d |                  0 |                         0 |                           0
 Goblin Balloon Brigade   | goblin balloon brigade   | b889a824f3693f7f501da1018c6429ea | battle_rule_v1:3ee1ffe5faf91652d3c784e297e0b9b2 | deprecate_nonmatching_rows |                1 | 662b65e6-6c88-40bb-937b-ec11f012d1e5 |                  0 |                         0 |                           0
 Gruul Nodorog            | gruul nodorog            | 4c55e83239d5c6d694cbacd84e484521 | battle_rule_v1:24747817c1615a7feca8b0170cfaf2dd | deprecate_nonmatching_rows |                1 | 2d7635c6-4706-431e-b863-da3654b83213 |                  0 |                         0 |                           0
 Gust-Skimmer             | gust-skimmer             | f01cbde60ca30a19b5a3dd596f5f2205 | battle_rule_v1:9b74f37395fab7ba2c0a30d1fe8d99cf | deprecate_nonmatching_rows |                1 | 8be3dc50-28e1-477c-b629-68f7f54b45e6 |                  0 |                         0 |                           0
 Henge Guardian           | henge guardian           | c049f398166c615c9c68ab6831b6c766 | battle_rule_v1:ad5d95c26ddc943c4e8b7d8b91f63694 | deprecate_nonmatching_rows |                1 | 5dc64eb5-801d-4d0b-8d02-3b7a3b3cb50a |                  1 |                         0 |                           1
 Igneous Golem            | igneous golem            | c049f398166c615c9c68ab6831b6c766 | battle_rule_v1:ad5d95c26ddc943c4e8b7d8b91f63694 | deprecate_nonmatching_rows |                1 | 349fef79-ab0c-44be-8aac-31816efb8603 |                  0 |                         0 |                           0
