 candidate_rows | safely_resolved_rows 
----------------+----------------------
             44 |                   44
(1 row)

                card_name                |             normalized_name             |                logical_rule_key                 | review_status | execution_status 
-----------------------------------------+-----------------------------------------+-------------------------------------------------+---------------+------------------
 Akroma's Will                           | akroma's will                           | battle_rule_v1:1134718ef1509d04fbc1291dbdbdf23e | verified      | auto
 Ancient Den                             | ancient den                             | battle_rule_v1:ea7e00f2d90b2ceead4036ab10cd0200 | verified      | auto
 Ancient Tomb                            | ancient tomb                            | battle_rule_v1:c364544e9bd651211acf851db2313ccd | verified      | auto
 Angel's Grace                           | angel's grace                           | battle_rule_v1:2833836fd4d943d3e02d1cfa2d284227 | verified      | auto
 Basking Broodscale                      | basking broodscale                      | battle_rule_v1:4a8564b60f39507bb2bb7fe5ca0b3a72 | active        | auto
 Chromatic Star                          | chromatic star                          | battle_rule_v1:7ff862e1720f195ee0374e3a6767b0da | active        | auto
 Dismember                               | dismember                               | battle_rule_v1:2f513570333d9f48be476602a7ce1593 | verified      | auto
 Entomb                                  | entomb                                  | battle_rule_v1:eb8223965ca43b8748902c1f16770332 | verified      | auto
 Everflowing Chalice                     | everflowing chalice                     | battle_rule_v1:67f848a7a9f40c7337ec0c13e0c1de7c | verified      | auto
 Fellwar Stone                           | fellwar stone                           | battle_rule_v1:3906ffa3cbf7d3437d68e44e13e10bba | active        | auto
 Formidable Speaker                      | formidable speaker                      | battle_rule_v1:ba0c54df93c61d9c92a11905c50b7bea | active        | auto
 Gemstone Caverns                        | gemstone caverns                        | battle_rule_v1:9384b4cf2ffc3b4afc5cb65fb4febaea | active        | auto
 Great Furnace                           | great furnace                           | battle_rule_v1:9a28465081dd2ac48819f94e919646a6 | verified      | auto
 Hall of Heliod's Generosity             | hall of heliod's generosity             | battle_rule_v1:4bddcb4c084d969a7ac60a4e378b06dd | active        | auto
 Inventors' Fair                         | inventors' fair                         | battle_rule_v1:c11487143935b327650306d7e7e8c8e2 | active        | auto
 Library of Leng                         | library of leng                         | battle_rule_v1:b6491cf6f7d7df9a3fb0d91abd3d31c3 | active        | auto
 Lumra, Bellow of the Woods              | lumra, bellow of the woods              | battle_rule_v1:847f9ee3ec1da14f043c8a52a4dbfb52 | verified      | auto
 Mana Vault                              | mana vault                              | battle_rule_v1:5a2533694ffd19223d3cde1e25d258ff | active        | auto
 Mox Amber                               | mox amber                               | battle_rule_v1:972703914ee50acd7a4e6f529fea1adf | verified      | auto
 Natural Order                           | natural order                           | battle_rule_v1:8a9cf49fe56ad1fabdb48aead5531bd1 | verified      | auto
 Rampant Growth                          | rampant growth                          | battle_rule_v1:439f162ed0ffa2321dd21b0692f07af4 | verified      | auto
 Reanimate                               | reanimate                               | battle_rule_v1:853d724485700fc5e29a050e9f5856a4 | active        | auto
 Runaway Steam-Kin                       | runaway steam-kin                       | battle_rule_v1:955e0141660dfdc8b31aaf15056693aa | verified      | auto
 Sami's Curiosity                        | sami's curiosity                        | battle_rule_v1:b25c35d72e00a057dc20945c38059d0e | verified      | auto
 Scavenging Ooze                         | scavenging ooze                         | battle_rule_v1:c6c94f94c02d497596c4f1b1cd05a9bd | active        | auto
 Scroll Rack                             | scroll rack                             | battle_rule_v1:3b58ff16a7eb52fb05c1bd8517225cd2 | active        | auto
 Seething Song                           | seething song                           | battle_rule_v1:3eb15dc581c6b913158f9b63c023f3d7 | verified      | auto
 Silence                                 | silence                                 | battle_rule_v1:74b210b77b004a677906e0216d44e445 | verified      | auto
 Skullclamp                              | skullclamp                              | battle_rule_v1:f996204e0cd900b700b6bf7defb607a6 | active        | auto
 Soul-Guide Lantern                      | soul-guide lantern                      | battle_rule_v1:3454aa122d10a4abd906132eb7745339 | verified      | auto
 Splendid Reclamation                    | splendid reclamation                    | battle_rule_v1:323e4e2c6e95da761c1614e4dff44778 | verified      | auto
 Staff of Compleation                    | staff of compleation                    | battle_rule_v1:d464d25de43eb912c79baea1cee783e5 | active        | auto
 Sunbaked Canyon                         | sunbaked canyon                         | battle_rule_v1:07c97c73f65d524510e30b6bbfca0b61 | active        | auto
 Talisman of Conviction                  | talisman of conviction                  | battle_rule_v1:02133e513da5ea98ac74d32d39b16470 | active        | auto
 Unexpected Windfall                     | unexpected windfall                     | battle_rule_v1:f9f98ea1925518eea7a7c94c21ef2dc4 | verified      | auto
 Urza's Saga                             | urza's saga                             | battle_rule_v1:b62b6dfa5cdc9db4b8b21faf7bfc0498 | active        | auto
 Valakut Awakening                       | valakut awakening                       | battle_rule_v1:245b8d2627720fadfd7a30464d07605a | verified      | auto
 Valakut Awakening // Valakut Stoneforge | valakut awakening // valakut stoneforge | battle_rule_v1:6e1f3b876822abafe1de47610f46858d | verified      | auto
 Vexing Bauble                           | vexing bauble                           | battle_rule_v1:6a85170698c85498bf618c0c0283a770 | verified      | auto
 Wall of Omens                           | wall of omens                           | battle_rule_v1:ee84dfe5a22708bf0b0ef435699ed7a4 | verified      | auto
 War Room                                | war room                                | battle_rule_v1:9cdb33ac0e813c0a25d960b65dbc7417 | active        | auto
 Wayfarer's Bauble                       | wayfarer's bauble                       | battle_rule_v1:97eb0d5868d1c777b74aa7d35fc85eab | active        | auto
 Worldfire                               | worldfire                               | battle_rule_v1:1b9bb9bfd6774cc55d21e50009efa9f3 | verified      | auto
 Zuran Orb                               | zuran orb                               | battle_rule_v1:d977323f1ef9834d148ef87dc519ba37 | verified      | auto
(44 rows)

