 backup_rows | updated_rows | trusted_executable_rules_missing_oracle_hash 
-------------+--------------+----------------------------------------------
          44 |           44 |                                            0
(1 row)

             normalized_name             |                card_name                |                logical_rule_key                 |           oracle_hash            |       expected_oracle_hash       | hash_matches_cards_oracle 
-----------------------------------------+-----------------------------------------+-------------------------------------------------+----------------------------------+----------------------------------+---------------------------
 akroma's will                           | Akroma's Will                           | battle_rule_v1:1134718ef1509d04fbc1291dbdbdf23e | 006e2b72eae264e2aaba82d99d07f593 | 006e2b72eae264e2aaba82d99d07f593 | t
 ancient den                             | Ancient Den                             | battle_rule_v1:ea7e00f2d90b2ceead4036ab10cd0200 | c7264c311c98ff99b293a96ad9ab2daf | c7264c311c98ff99b293a96ad9ab2daf | t
 ancient tomb                            | Ancient Tomb                            | battle_rule_v1:c364544e9bd651211acf851db2313ccd | 5f61966c5bfc67508502d929ca891af3 | 5f61966c5bfc67508502d929ca891af3 | t
 angel's grace                           | Angel's Grace                           | battle_rule_v1:2833836fd4d943d3e02d1cfa2d284227 | 627c4ce7adf5be44b93e2b850159e5d9 | 627c4ce7adf5be44b93e2b850159e5d9 | t
 basking broodscale                      | Basking Broodscale                      | battle_rule_v1:4a8564b60f39507bb2bb7fe5ca0b3a72 | 325bca13766fa2c770259e79375080bc | 325bca13766fa2c770259e79375080bc | t
 chromatic star                          | Chromatic Star                          | battle_rule_v1:7ff862e1720f195ee0374e3a6767b0da | e42c268c0db1c7273a78d08b85d8918b | e42c268c0db1c7273a78d08b85d8918b | t
 dismember                               | Dismember                               | battle_rule_v1:2f513570333d9f48be476602a7ce1593 | e3824a160f31571d21bccb7be33474cf | e3824a160f31571d21bccb7be33474cf | t
 entomb                                  | Entomb                                  | battle_rule_v1:eb8223965ca43b8748902c1f16770332 | ff9463f33167f2489bb78394a914d43c | ff9463f33167f2489bb78394a914d43c | t
 everflowing chalice                     | Everflowing Chalice                     | battle_rule_v1:67f848a7a9f40c7337ec0c13e0c1de7c | 2916ac287962232283ac7b1dbe684b7d | 2916ac287962232283ac7b1dbe684b7d | t
