PG696 trusted rule oracle_hash backfill precheck
 target_rows | unresolved_card_id_rows | empty_oracle_hash_rows
-------------+-------------------------+------------------------
          44 |                       0 |                      0
(1 row)

 unsafe_missing_hash_rows
--------------------------
                        0
(1 row)

             normalized_name             |                card_name                |                logical_rule_key                 |               card_id                |            matched_card_name            |       computed_oracle_hash
-----------------------------------------+-----------------------------------------+-------------------------------------------------+--------------------------------------+-----------------------------------------+----------------------------------
 akroma's will                           | Akroma's Will                           | battle_rule_v1:1134718ef1509d04fbc1291dbdbdf23e | aed24a55-92f5-441d-8846-413544520b1a | Akroma's Will                           | 006e2b72eae264e2aaba82d99d07f593
 ancient den                             | Ancient Den                             | battle_rule_v1:ea7e00f2d90b2ceead4036ab10cd0200 | 98f9fb2f-df2f-4c7c-8381-fa2441cccbe4 | Ancient Den                             | c7264c311c98ff99b293a96ad9ab2daf
 ancient tomb                            | Ancient Tomb                            | battle_rule_v1:c364544e9bd651211acf851db2313ccd | fa0a6d8f-7097-4f25-9adb-6fe7df179894 | Ancient Tomb                            | 5f61966c5bfc67508502d929ca891af3
 angel's grace                           | Angel's Grace                           | battle_rule_v1:2833836fd4d943d3e02d1cfa2d284227 | 5bada3bb-7fd0-4102-b5b4-235616a28597 | Angel's Grace                           | 627c4ce7adf5be44b93e2b850159e5d9
 basking broodscale                      | Basking Broodscale                      | battle_rule_v1:4a8564b60f39507bb2bb7fe5ca0b3a72 | 09544480-c90f-409d-9bc3-93be84feadc9 | Basking Broodscale                      | 325bca13766fa2c770259e79375080bc
 chromatic star                          | Chromatic Star                          | battle_rule_v1:7ff862e1720f195ee0374e3a6767b0da | a1e061e3-9239-4c6b-905e-1aaf266a24d2 | Chromatic Star                          | e42c268c0db1c7273a78d08b85d8918b
 dismember                               | Dismember                               | battle_rule_v1:2f513570333d9f48be476602a7ce1593 | c823afa9-5d47-4935-aab6-ee3bf448d84e | Dismember                               | e3824a160f31571d21bccb7be33474cf
 entomb                                  | Entomb                                  | battle_rule_v1:eb8223965ca43b8748902c1f16770332 | 38cb6aff-9b27-471e-9dbd-87978dc730eb | Entomb                                  | ff9463f33167f2489bb78394a914d43c
 everflowing chalice                     | Everflowing Chalice                     | battle_rule_v1:67f848a7a9f40c7337ec0c13e0c1de7c | bede9e2b-04b8-4a4a-82dc-76e45859d02a | Everflowing Chalice                     | 2916ac287962232283ac7b1dbe684b7d
 fellwar stone                           | Fellwar Stone                           | battle_rule_v1:3906ffa3cbf7d3437d68e44e13e10bba | e052e629-239f-49d1-a68f-f678f18e93dc | Fellwar Stone                           | d63befc8ac40d9a38732f9b5c1a7414a
 formidable speaker                      | Formidable Speaker                      | battle_rule_v1:ba0c54df93c61d9c92a11905c50b7bea | 2c71b9a6-ed6d-4252-94ff-2208452dbfb6 | Formidable Speaker                      | 2339245d7d8beb5a87ea1c0c8b67dc88
 gemstone caverns                        | Gemstone Caverns                        | battle_rule_v1:9384b4cf2ffc3b4afc5cb65fb4febaea | fe78265c-8e98-4056-84c2-dad98d6bb955 | Gemstone Caverns                        | 2c25335e12791e77b9c19c9b3af0a413
 great furnace                           | Great Furnace                           | battle_rule_v1:9a28465081dd2ac48819f94e919646a6 | a0063e78-cfa6-4d2d-aeeb-6512c1d43b51 | Great Furnace                           | ed6887f502cae452812d5f5d0a0c5792
 hall of heliod's generosity             | Hall of Heliod's Generosity             | battle_rule_v1:4bddcb4c084d969a7ac60a4e378b06dd | a0b0c6cf-bc63-463b-94f3-9ba79f035ffa | Hall of Heliod's Generosity             | cf91d14269b30b7db1f05234d34db931
 inventors' fair                         | Inventors' Fair                         | battle_rule_v1:c11487143935b327650306d7e7e8c8e2 | 4df732d0-7304-4634-b40a-d912e8baef52 | Inventors' Fair                         | 9529349d5e874f6304264ddf6a2d0c2f
 library of leng                         | Library of Leng                         | battle_rule_v1:b6491cf6f7d7df9a3fb0d91abd3d31c3 | ec9cd418-f443-4e59-9a1a-7086be318209 | Library of Leng                         | 575aef3cc2523831e440ea7dcd55fa6e
 lumra, bellow of the woods              | Lumra, Bellow of the Woods              | battle_rule_v1:847f9ee3ec1da14f043c8a52a4dbfb52 | 290c0a93-5f0c-45fe-9b80-277b1dc36392 | Lumra, Bellow of the Woods              | 6d55531f06ba4e627600f3962ad9f95f
 mana vault                              | Mana Vault                              | battle_rule_v1:5a2533694ffd19223d3cde1e25d258ff | d2f38c20-79e2-4330-b6ae-ded990a465e4 | Mana Vault                              | 35e3fd94c8453c0e326033af49ae18c8
 mox amber                               | Mox Amber                               | battle_rule_v1:972703914ee50acd7a4e6f529fea1adf | bcd7d52d-b4e2-42e1-9bca-768f1672bc4b | Mox Amber                               | e47b40cf2afc4c9ceac6bf91815da706
 natural order                           | Natural Order                           | battle_rule_v1:8a9cf49fe56ad1fabdb48aead5531bd1 | 3bb76ce6-1083-4834-b3fa-cdc68aec0a6f | Natural Order                           | 313e25b11a10c99127eca70b7fefbb75
 rampant growth                          | Rampant Growth                          | battle_rule_v1:439f162ed0ffa2321dd21b0692f07af4 | d553a5c8-1bf6-4648-b567-f6c68a6e30f9 | Rampant Growth                          | 4ce07a0d5e5a33a68517b988b63dbe42
 reanimate                               | Reanimate                               | battle_rule_v1:853d724485700fc5e29a050e9f5856a4 | a3c3d616-b19e-4f86-8034-654eb1811b1e | Reanimate                               | 5936b4653734cd7087eb67229b4efbc3
 runaway steam-kin                       | Runaway Steam-Kin                       | battle_rule_v1:955e0141660dfdc8b31aaf15056693aa | dbf6f43f-ee78-4f73-9eff-f0e86628c4c1 | Runaway Steam-Kin                       | abe8e79d26d363a82e68a55e6c19c0b3
 sami's curiosity                        | Sami's Curiosity                        | battle_rule_v1:b25c35d72e00a057dc20945c38059d0e | b164352a-a931-409a-9fca-5570a6cc1a0c | Sami's Curiosity                        | d88d3c9d7319f3ce78f286614392ffbf
 scavenging ooze                         | Scavenging Ooze                         | battle_rule_v1:c6c94f94c02d497596c4f1b1cd05a9bd | 20a0fc7c-5e9a-446b-b636-ae5f955ad39a | Scavenging Ooze                         | 072765012c562c0dd7e6c1965a77fa17
 scroll rack                             | Scroll Rack                             | battle_rule_v1:3b58ff16a7eb52fb05c1bd8517225cd2 | 166c82b2-f988-4073-9cf4-73a0bf4645a6 | Scroll Rack                             | 8133928f03d5a5a77f2beecfcbd09e30
 seething song                           | Seething Song                           | battle_rule_v1:3eb15dc581c6b913158f9b63c023f3d7 | b8b37250-ca47-4dcc-a6d9-1675febf2587 | Seething Song                           | ccd492289c6f1c14c8fb7a248d7bbf32
 silence                                 | Silence                                 | battle_rule_v1:74b210b77b004a677906e0216d44e445 | 6eac5767-386d-4c9e-a7e1-926e43e32e83 | Silence                                 | a0ca3c09a7db091c435ab31adb9c1780
 skullclamp                              | Skullclamp                              | battle_rule_v1:f996204e0cd900b700b6bf7defb607a6 | 53f9ed4b-c7f3-42c6-a751-4b79287f4a0a | Skullclamp                              | 01408ac2502c74e39791c1779ab33833
 soul-guide lantern                      | Soul-Guide Lantern                      | battle_rule_v1:3454aa122d10a4abd906132eb7745339 | f636fb2e-16cb-4807-ad94-463be361a61a | Soul-Guide Lantern                      | 6a9e4cf9a4397715ccd0737e1b8cf270
 splendid reclamation                    | Splendid Reclamation                    | battle_rule_v1:323e4e2c6e95da761c1614e4dff44778 | 1fd6f391-9e65-4bb0-8bb1-548360bed90b | Splendid Reclamation                    | 81249444bdb32006d5e687858df04b9a
 staff of compleation                    | Staff of Compleation                    | battle_rule_v1:d464d25de43eb912c79baea1cee783e5 | e0ac5a9b-f026-4b6a-a98e-b334be6d133b | Staff of Compleation                    | 6b66f4e89a1a484d4fd15b2acc365603
 sunbaked canyon                         | Sunbaked Canyon                         | battle_rule_v1:07c97c73f65d524510e30b6bbfca0b61 | 4acbecf1-fa0e-4d2f-9d87-5d91b1fd8ef5 | Sunbaked Canyon                         | eae946655b75e4666adfbdb760bee0ff
 talisman of conviction                  | Talisman of Conviction                  | battle_rule_v1:02133e513da5ea98ac74d32d39b16470 | 6a6b4572-5c96-4405-a480-45344904b697 | Talisman of Conviction                  | d49ceec937367a344a9f0948eea4f8f2
 unexpected windfall                     | Unexpected Windfall                     | battle_rule_v1:f9f98ea1925518eea7a7c94c21ef2dc4 | 08112727-89cc-4af8-aff1-1435ffc40098 | Unexpected Windfall                     | 9c4fbe06104051a2e8b1d295d307b26a
 urza's saga                             | Urza's Saga                             | battle_rule_v1:b62b6dfa5cdc9db4b8b21faf7bfc0498 | 55761b91-117b-4861-ba85-5ac377ab09df | Urza's Saga                             | 43e3b1636425f22bbd834442ddb93bc0
 valakut awakening                       | Valakut Awakening                       | battle_rule_v1:245b8d2627720fadfd7a30464d07605a | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | Valakut Awakening // Valakut Stoneforge | 22b42fcc181b7aed71f78b2e1e51e887
 valakut awakening // valakut stoneforge | Valakut Awakening // Valakut Stoneforge | battle_rule_v1:6e1f3b876822abafe1de47610f46858d | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | Valakut Awakening // Valakut Stoneforge | 22b42fcc181b7aed71f78b2e1e51e887
 vexing bauble                           | Vexing Bauble                           | battle_rule_v1:6a85170698c85498bf618c0c0283a770 | 11288e9b-9c75-41c4-a6c3-736e28687134 | Vexing Bauble                           | 020e696ec9560830bb82bf0244595d69
 wall of omens                           | Wall of Omens                           | battle_rule_v1:ee84dfe5a22708bf0b0ef435699ed7a4 | 6363223d-a83d-43af-9064-9c5918d832c2 | Wall of Omens                           | 755be179e545f27507f78b6a79a34485
 war room                                | War Room                                | battle_rule_v1:9cdb33ac0e813c0a25d960b65dbc7417 | 9d65f34d-bc5e-4979-8f58-2b52f7496d6c | War Room                                | d9c250570bb91d94ceae9fcd74081ef5
 wayfarer's bauble                       | Wayfarer's Bauble                       | battle_rule_v1:97eb0d5868d1c777b74aa7d35fc85eab | b393933f-6ebf-4cf9-bbdc-58bdbb654a66 | Wayfarer's Bauble                       | f11935fa793ae03d95ae75d62cdfa516
 worldfire                               | Worldfire                               | battle_rule_v1:1b9bb9bfd6774cc55d21e50009efa9f3 | 69693acc-2fe5-4627-82d7-b17a5574f65c | Worldfire                               | dfb75aa49416e7e281ad8e5cdcf721fa
 zuran orb                               | Zuran Orb                               | battle_rule_v1:d977323f1ef9834d148ef87dc519ba37 | 2254e7f1-becd-4819-a6e6-3f7cf9170314 | Zuran Orb                               | 5fef1974ee8b02952ac5612ea66c5c33
(44 rows)
