 rows_to_backfill | distinct_cards | rows_with_computed_hash
------------------+----------------+-------------------------
               23 |             23 |                      23
(1 row)

          card_name          |       normalized_name       |                logical_rule_key                 |                   battle_model_scope                   |       computed_oracle_hash
-----------------------------+-----------------------------+-------------------------------------------------+--------------------------------------------------------+----------------------------------
 Ashnod's Altar              | ashnod's altar              | battle_rule_v1:d63eb0bbc240132b9aeb80caf675bcc4 | activated_creature_sacrifice_mana_source_unexecuted_v1 | dd3e1f004f2b178f31b638fad9cad591
 Basking Broodscale          | basking broodscale          | battle_rule_v1:4a8564b60f39507bb2bb7fe5ca0b3a72 | creature_counter_token_engine_unexecuted_v1            | 325bca13766fa2c770259e79375080bc
 Chromatic Star              | chromatic star              | battle_rule_v1:7ff862e1720f195ee0374e3a6767b0da | sacrifice_mana_filter_cantrip_v2                       | e42c268c0db1c7273a78d08b85d8918b
 Fellwar Stone               | fellwar stone               | battle_rule_v1:3906ffa3cbf7d3437d68e44e13e10bba | conditional_opponent_color_mana_rock_v1                | d63befc8ac40d9a38732f9b5c1a7414a
 Formidable Speaker          | formidable speaker          | battle_rule_v1:ba0c54df93c61d9c92a11905c50b7bea | etb_discard_then_creature_tutor_unexecuted_v1          | 2339245d7d8beb5a87ea1c0c8b67dc88
 Gemstone Caverns            | gemstone caverns            | battle_rule_v1:9384b4cf2ffc3b4afc5cb65fb4febaea | pregame_fixing_land_partial_v1                         | 2c25335e12791e77b9c19c9b3af0a413
 Hall of Heliod's Generosity | hall of heliod's generosity | battle_rule_v1:4bddcb4c084d969a7ac60a4e378b06dd | colorless_utility_recursion_land_v1                    | cf91d14269b30b7db1f05234d34db931
 Incubation Druid            | incubation druid            | battle_rule_v1:86b5c2438a3ba7a20bfd9a0845e1bbc6 | mana_dork_without_adapt_v1                             | 5bb72caef291ea420e5de42a141665ab
 Inventors' Fair             | inventors' fair             | battle_rule_v1:c11487143935b327650306d7e7e8c8e2 | artifact_threshold_utility_land_v1                     | 9529349d5e874f6304264ddf6a2d0c2f
 Library of Leng             | library of leng             | battle_rule_v1:b6491cf6f7d7df9a3fb0d91abd3d31c3 | discard_replacement_to_top_v1                          | 575aef3cc2523831e440ea7dcd55fa6e
 Mana Vault                  | mana vault                  | battle_rule_v1:5a2533694ffd19223d3cde1e25d258ff | fast_mana_artifact_partial_v1                          | 35e3fd94c8453c0e326033af49ae18c8
 Mind Stone                  | mind stone                  | battle_rule_v1:53afed56bbee9885bfb6201f8587db07 | mana_rock_self_sacrifice_draw_v1                       | 8d1c9b62d7e5642df44a61a63de5e240
 Mystical Tutor              | mystical tutor              | battle_rule_v1:86137800253980cc4594e0cf3fd78953 | instant_or_sorcery_tutor_topdeck_partial_v1            | 6a72f3c0228efaa3bb3bb616122ed036
 Reanimate                   | reanimate                   | battle_rule_v1:853d724485700fc5e29a050e9f5856a4 | single_creature_graveyard_to_battlefield_v1            | 5936b4653734cd7087eb67229b4efbc3
 Scavenging Ooze             | scavenging ooze             | battle_rule_v1:c6c94f94c02d497596c4f1b1cd05a9bd | graveyard_hate_creature_activation_unexecuted_v1       | 072765012c562c0dd7e6c1965a77fa17
 Scroll Rack                 | scroll rack                 | battle_rule_v1:3b58ff16a7eb52fb05c1bd8517225cd2 | scroll_rack_upkeep_single_exchange_v1                  | 8133928f03d5a5a77f2beecfcbd09e30
 Skullclamp                  | skullclamp                  | battle_rule_v1:f996204e0cd900b700b6bf7defb607a6 | equipment_stat_mod_draw_on_death_partial_v1            | 01408ac2502c74e39791c1779ab33833
 Staff of Compleation        | staff of compleation        | battle_rule_v1:d464d25de43eb912c79baea1cee783e5 | multi_mode_life_payment_utility_artifact_partial_v1    | 6b66f4e89a1a484d4fd15b2acc365603
 Sunbaked Canyon             | sunbaked canyon             | battle_rule_v1:07c97c73f65d524510e30b6bbfca0b61 | pain_cycle_sac_draw_land_v1                            | eae946655b75e4666adfbdb760bee0ff
 Talisman of Conviction      | talisman of conviction      | battle_rule_v1:02133e513da5ea98ac74d32d39b16470 | pain_talisman_color_pair_partial_v1                    | d49ceec937367a344a9f0948eea4f8f2
 Urza's Saga                 | urza's saga                 | battle_rule_v1:b62b6dfa5cdc9db4b8b21faf7bfc0498 | saga_land_token_then_tutor_partial_v1                  | 43e3b1636425f22bbd834442ddb93bc0
 War Room                    | war room                    | battle_rule_v1:9cdb33ac0e813c0a25d960b65dbc7417 | colorless_life_paid_draw_land_v1                       | d9c250570bb91d94ceae9fcd74081ef5
 Wayfarer's Bauble           | wayfarer's bauble           | battle_rule_v1:97eb0d5868d1c777b74aa7d35fc85eab | self_sacrifice_basic_land_tutor_artifact_v1            | f11935fa793ae03d95ae75d62cdfa516
(23 rows)
