 backfillable_rule_rows | affected_card_ids | affected_normalized_names | unsafe_missing_hash_rows |  source_counts
------------------------+-------------------+---------------------------+--------------------------+-----------------
                     55 |                54 |                        55 |                        0 | {"curated": 55}
(1 row)

                card_name                |             normalized_name             |               card_id                |                logical_rule_key                 | review_status | execution_status | source  | rule_version |            effect            |                   battle_model_scope                   |                     db_card_name                      |              oracle_id               |       computed_oracle_hash       | oracle_text_length
-----------------------------------------+-----------------------------------------+--------------------------------------+-------------------------------------------------+---------------+------------------+---------+--------------+------------------------------+--------------------------------------------------------+-------------------------------------------------------+--------------------------------------+----------------------------------+--------------------
 Akroma's Will                           | akroma's will                           | aed24a55-92f5-441d-8846-413544520b1a | battle_rule_v1:1134718ef1509d04fbc1291dbdbdf23e | verified      | auto             | curated |            1 | pump_all                     | combat_keyword_grant_until_eot_v1                      | Akroma's Will                                         | fd949f82-fc10-4e37-8aa9-6c7569fe3c55 | 006e2b72eae264e2aaba82d99d07f593 |                281
 Ancient Den                             | ancient den                             | 98f9fb2f-df2f-4c7c-8381-fa2441cccbe4 | battle_rule_v1:ea7e00f2d90b2ceead4036ab10cd0200 | verified      | auto             | curated |            1 | land                         | artifact_land_colored_source_v1                        | Ancient Den                                           | 02f16726-f2f6-4943-b71a-93f8e26251d3 | c7264c311c98ff99b293a96ad9ab2daf |                 13
 Ancient Tomb                            | ancient tomb                            | fa0a6d8f-7097-4f25-9adb-6fe7df179894 | battle_rule_v1:c364544e9bd651211acf851db2313ccd | verified      | auto             | curated |            1 | land                         | ancient_tomb_bonus_mana_on_tap_v1                      | Ancient Tomb                                          | 23467047-6dba-4498-b783-1ebc4f74b8c2 | 5f61966c5bfc67508502d929ca891af3 |                 49
 Angel's Grace                           | angel's grace                           | 5bada3bb-7fd0-4102-b5b4-235616a28597 | battle_rule_v1:2833836fd4d943d3e02d1cfa2d284227 | verified      | auto             | curated |            2 | cannot_lose_turn             |                                                        | Angel's Grace                                         | 66ca8a60-e028-4a5f-8177-860b888cb9d1 | 627c4ce7adf5be44b93e2b850159e5d9 |                312
 Ashnod's Altar                          | ashnod's altar                          | 066a791c-be94-4552-9bc0-db45136509cf | battle_rule_v1:d63eb0bbc240132b9aeb80caf675bcc4 | active        | auto             | curated |            1 | passive                      | activated_creature_sacrifice_mana_source_unexecuted_v1 | Ashnod's Altar                                        | 4d18bcba-a346-445e-a182-6cc30b7e066d | dd3e1f004f2b178f31b638fad9cad591 |                 33
 Basking Broodscale                      | basking broodscale                      | 09544480-c90f-409d-9bc3-93be84feadc9 | battle_rule_v1:4a8564b60f39507bb2bb7fe5ca0b3a72 | active        | auto             | curated |            1 | creature                     | creature_counter_token_engine_unexecuted_v1            | Basking Broodscale                                    | a7c69802-99c4-4778-934e-cc09ba58c267 | 325bca13766fa2c770259e79375080bc |                284
 Birgi, God of Storytelling              | birgi, god of storytelling              | e715bdfc-8bc4-4da8-b7bf-1d6f48d5fc85 | battle_rule_v1:a7af0fd25d7c196baa8ff58d193b2695 | verified      | auto             | curated |            1 | creature                     | spell_cast_red_mana_trigger_v1                         | Birgi, God of Storytelling // Harnfel, Horn of Bounty | fb81e4d3-1d8c-4779-be62-87cf49277e51 | 5f1ed696a63cd668fd46a2fe9971a54e |                186
 Chromatic Star                          | chromatic star                          | a1e061e3-9239-4c6b-905e-1aaf266a24d2 | battle_rule_v1:7ff862e1720f195ee0374e3a6767b0da | active        | auto             | curated |            1 | cantrip_mana_filter_artifact | sacrifice_mana_filter_cantrip_v2                       | Chromatic Star                                        | fedbd40b-e3a5-449c-a8a3-b42e9da191a9 | e42c268c0db1c7273a78d08b85d8918b |                139
 Chrome Mox                              | chrome mox                              | 697a0893-70df-4c1f-b91c-c9a28e54c5c3 | battle_rule_v1:baf0ceea81b709c31104e0fcb4fc4e95 | verified      | auto             | curated |            1 | ramp_permanent               | imprint_fast_mana_v1                                   | Chrome Mox                                            | ec3d4466-547c-4e02-b1b5-a156ec4637e9 | 44481be7f5347792ede1a9b679a424b3 |                148
 Crop Rotation                           | crop rotation                           | cc63576d-6d84-4933-95f4-bee29ac47835 | battle_rule_v1:0cae4a7bd1e862a0063b9c606ff96e6c | verified      | auto             | curated |            1 | land_ramp                    | sacrifice_land_for_high_value_land_v1                  | Crop Rotation                                         | 28b46183-c62f-47b1-9fee-3ba148202cab | 67869230ccb8b4499893e14915ca8b14 |                146
 Dismember                               | dismember                               | c823afa9-5d47-4935-aab6-ee3bf448d84e | battle_rule_v1:2f513570333d9f48be476602a7ce1593 | verified      | auto             | curated |            1 | remove_creature              | stat_modifier_removal_until_eot_v1                     | Dismember                                             | fd74f8eb-0253-42dd-8277-186d4934da38 | e3824a160f31571d21bccb7be33474cf |                 92
 Electroduplicate                        | electroduplicate                        | 9200b09b-27c1-4150-806b-7cfe357a940a | battle_rule_v1:908888276dcbc8c3db1126707691ae2c | verified      | auto             | curated |            1 | copy_creature_token          | temporary_hasty_copy_token_v1                          | Electroduplicate                                      | 112f2b3f-32e7-40b1-b80e-0b99184a840c | 336afa048144f8fb9a88dfc3b6588f4b |                246
 Entomb                                  | entomb                                  | 38cb6aff-9b27-471e-9dbd-87978dc730eb | battle_rule_v1:eb8223965ca43b8748902c1f16770332 | verified      | auto             | curated |            1 | tutor                        | graveyard_tutor_single_card_v1                         | Entomb                                                | 299fc083-0834-4064-8344-f895aff68867 | ff9463f33167f2489bb78394a914d43c |                 80
 Everflowing Chalice                     | everflowing chalice                     | bede9e2b-04b8-4a4a-82dc-76e45859d02a | battle_rule_v1:67f848a7a9f40c7337ec0c13e0c1de7c | verified      | auto             | curated |            1 | ramp_permanent               | multikicker_charge_mana_artifact_v1                    | Everflowing Chalice                                   | 0a79237e-0811-4a8a-bd4d-db3ca91bff22 | 2916ac287962232283ac7b1dbe684b7d |                224
 Fellwar Stone                           | fellwar stone                           | e052e629-239f-49d1-a68f-f678f18e93dc | battle_rule_v1:3906ffa3cbf7d3437d68e44e13e10bba | active        | auto             | curated |            2 | ramp_permanent               | conditional_opponent_color_mana_rock_v1                | Fellwar Stone                                         | 95560508-7ac9-4be9-8a3f-3c7d5b52807b | d63befc8ac40d9a38732f9b5c1a7414a |                 78
 Formidable Speaker                      | formidable speaker                      | 2c71b9a6-ed6d-4252-94ff-2208452dbfb6 | battle_rule_v1:ba0c54df93c61d9c92a11905c50b7bea | active        | auto             | curated |            1 | creature                     | etb_discard_then_creature_tutor_unexecuted_v1          | Formidable Speaker                                    | 5bd06f9e-9a42-455d-ad26-24bc04e51c7c | 2339245d7d8beb5a87ea1c0c8b67dc88 |                192
 Gemstone Caverns                        | gemstone caverns                        | fe78265c-8e98-4056-84c2-dad98d6bb955 | battle_rule_v1:9384b4cf2ffc3b4afc5cb65fb4febaea | active        | auto             | curated |            1 | land                         | pregame_fixing_land_partial_v1                         | Gemstone Caverns                                      | c0adbddc-b070-4c5f-afe0-0474c72a9251 | 2c25335e12791e77b9c19c9b3af0a413 |                298
 Great Furnace                           | great furnace                           | a0063e78-cfa6-4d2d-aeeb-6512c1d43b51 | battle_rule_v1:9a28465081dd2ac48819f94e919646a6 | verified      | auto             | curated |            1 | land                         | artifact_land_colored_source_v1                        | Great Furnace                                         | f4819061-b0b5-48ab-af7b-6525c3d2eab7 | ed6887f502cae452812d5f5d0a0c5792 |                 13
 Hall of Heliod's Generosity             | hall of heliod's generosity             | a0b0c6cf-bc63-463b-94f3-9ba79f035ffa | battle_rule_v1:4bddcb4c084d969a7ac60a4e378b06dd | active        | auto             | curated |            1 | land                         | colorless_utility_recursion_land_v1                    | Hall of Heliod's Generosity                           | 2fc070dc-f2f7-4648-8069-31d74790a39c | cf91d14269b30b7db1f05234d34db931 |                 98
 Incubation Druid                        | incubation druid                        | 12483b69-351d-401a-b456-df997dee2f0a | battle_rule_v1:86b5c2438a3ba7a20bfd9a0845e1bbc6 | active        | auto             | curated |            1 | creature                     | mana_dork_without_adapt_v1                             | Incubation Druid                                      | 34428f42-03ac-4795-8286-6cbea796df2b | 5bb72caef291ea420e5de42a141665ab |                249
 Inventors' Fair                         | inventors' fair                         | 4df732d0-7304-4634-b40a-d912e8baef52 | battle_rule_v1:c11487143935b327650306d7e7e8c8e2 | active        | auto             | curated |            1 | land                         | artifact_threshold_utility_land_v1                     | Inventors' Fair                                       | 91d4a5fe-fd6d-4b14-a63f-61b4d0ecd9c4 | 9529349d5e874f6304264ddf6a2d0c2f |                284
