      card_name       |   normalized_name    |           oracle_hash            |                logical_rule_key                 |      shadow_handling       | target_card_rows |          canonical_card_id           | existing_rule_rows | expected_rule_rows_before | would_deprecate_shadow_rows
----------------------+----------------------+----------------------------------+-------------------------------------------------+----------------------------+------------------+--------------------------------------+--------------------+---------------------------+-----------------------------
 Almighty Brushwagg   | almighty brushwagg   | 16c0920222f7063716833f1b597860ea | battle_rule_v1:dee1d5fdcce8a7d41ce9cb71769cc4a1 | deprecate_nonmatching_rows |                1 | f6e02fbe-73bb-41e2-bcb9-6e6866c368d7 |                  0 |                         0 |                           0
 Anointed Chorister   | anointed chorister   | d11a58d97ca855244358b4f577fa3341 | battle_rule_v1:bd270a5aaa2a2f6fcbeb41b20c9b0e51 | deprecate_nonmatching_rows |                1 | 5dea3509-6098-4ce6-bd09-83d556c903a1 |                  0 |                         0 |                           0
 Aven Flock           | aven flock           | 0e89241e7c79870ddca3b1725dc9e8be | battle_rule_v1:c47a8875ba2037b7b1104e195c024dd6 | deprecate_nonmatching_rows |                1 | 919ecf4a-9ea1-4045-ac05-9556de5959be |                  0 |                         0 |                           0
 Balshan Collaborator | balshan collaborator | b64d699493ad9e4aac71c1a22fbef69a | battle_rule_v1:694861e655bdfa1e09157c70ca27a715 | deprecate_nonmatching_rows |                1 | 2271b611-6fcc-440a-92bd-6b01d50f3323 |                  0 |                         0 |                           0
 Blistering Dieflyn   | blistering dieflyn   | 7bef419e43e36b9488d7a49565362c00 | battle_rule_v1:215ed6c0663ac712d8908764f893e5bc | deprecate_nonmatching_rows |                1 | c4296c8e-c27f-4943-a09e-1bd5470f356f |                  0 |                         0 |                           0
 Burrog Banemaker     | burrog banemaker     | 2531bdd67f5acd4b6ff79ad7071dcf19 | battle_rule_v1:6ec89fb1ff020a09bd4b7d556d8d7a5e | deprecate_nonmatching_rows |                1 | 544d6db0-3c63-40fc-9286-4919f94a0f77 |                  0 |                         0 |                           0
 Capashen Knight      | capashen knight      | efcf4b69ae5a8ebc23f3160c0d2afc21 | battle_rule_v1:f73b279dcf57b8d564b9a5ee7b91a096 | deprecate_nonmatching_rows |                1 | 99007ae3-c87b-42b0-8dc0-6b66c4e5acfa |                  0 |                         0 |                           0
 Char-Rumbler         | char-rumbler         | 2dafeb10c896817105d49da7d7d05d6f | battle_rule_v1:3b404ad0b195a352272cf59c5218af71 | deprecate_nonmatching_rows |                1 | e07fbbfb-a840-48e2-9388-ae3d0b8f88ae |                  0 |                         0 |                           0
 Crypt Ripper         | crypt ripper         | 7af0f38166b7beefb788b39fedb96033 | battle_rule_v1:b6732ab1b8f7b5472c692781e8e75004 | deprecate_nonmatching_rows |                1 | 2d423cb0-cec4-45ee-abd0-64b072dd2fca |                  0 |                         0 |                           0
 Dragon Hatchling     | dragon hatchling     | 88963d70765769a171edcbb7214f932b | battle_rule_v1:c368af5ab4fc204a162244d655b62eca | deprecate_nonmatching_rows |                1 | a1e7f24d-1018-49d2-855f-e90ee85a3ca7 |                  0 |                         0 |                           0
 Drifting Shade       | drifting shade       | b64d699493ad9e4aac71c1a22fbef69a | battle_rule_v1:694861e655bdfa1e09157c70ca27a715 | deprecate_nonmatching_rows |                1 | b6051e2a-dcd5-4318-90f8-3000fbd4a92a |                  0 |                         0 |                           0
 Dungeon Shade        | dungeon shade        | b64d699493ad9e4aac71c1a22fbef69a | battle_rule_v1:694861e655bdfa1e09157c70ca27a715 | deprecate_nonmatching_rows |                1 | 3cd62b85-dc22-43ba-bc95-a0b1f64d0028 |                  0 |                         0 |                           0
 Ember-Eye Wolf       | ember-eye wolf       | fcbb759a62415cf574b32cc6ad51ee66 | battle_rule_v1:fc0bc3dbb35c8170a89199f8464f0ac2 | deprecate_nonmatching_rows |                1 | 4479b30d-c614-40fe-b4ae-c9c7d3136c75 |                  0 |                         0 |                           0
 Feral Ridgewolf      | feral ridgewolf      | d0ae3576ef1d9a78ebd605ecd9d4d5af | battle_rule_v1:a991b9ae5b653dfb337dfce1bb77d4e0 | deprecate_nonmatching_rows |                1 | a5fc7139-d152-4f6b-b830-11efeaecee41 |                  0 |                         0 |                           0
 Fireborn Knight      | fireborn knight      | 5dfb9714e8adfecd997d3328365831c2 | battle_rule_v1:81b47a1d1067012d9448722e21ae0e7a | deprecate_nonmatching_rows |                1 | bc6596ba-9baa-4c2d-82f4-c8a48d8f4d09 |                  0 |                         0 |                           0
 Firefly              | firefly              | 88963d70765769a171edcbb7214f932b | battle_rule_v1:c368af5ab4fc204a162244d655b62eca | deprecate_nonmatching_rows |                1 | 822f6004-6c42-44b9-8773-e0b463f8ab99 |                  0 |                         0 |                           0
 Flowstone Hellion    | flowstone hellion    | 185997fedd25bca173d3c413154a2631 | battle_rule_v1:6c8d2b120ef825bb9bfe56d8664ed73f | deprecate_nonmatching_rows |                1 | 326a1b85-7ae0-4dc1-9be2-7f626fe84875 |                  0 |                         0 |                           0
