        card_name        |     normalized_name     |                logical_rule_key                 | promoted_rule_rows | promoted_verified_auto_rows | promoted_oracle_hash_rows | backup_rows
-------------------------+-------------------------+-------------------------------------------------+--------------------+-----------------------------+---------------------------+-------------
 Aether Adept            | aether adept            | battle_rule_v1:d8d9647e557e324a29e260afaf2e51fe |                  1 |                           1 |                         1 |           0
 Angler Drake            | angler drake            | battle_rule_v1:24fd20f36e87387e5e087563f3be1e90 |                  1 |                           1 |                         1 |           0
 Aven Fogbringer         | aven fogbringer         | battle_rule_v1:10d8fac1e5b63846033d7839bab6e48e |                  1 |                           1 |                         1 |           0
 Bigfin Bouncer          | bigfin bouncer          | battle_rule_v1:1a9f0a479dede202f08453d8e9294789 |                  1 |                           1 |                         1 |           0
 Dispersal Technician    | dispersal technician    | battle_rule_v1:eb5271e3e1214d5399abd013e7879111 |                  1 |                           1 |                         1 |           0
 Exclusion Mage          | exclusion mage          | battle_rule_v1:1a9f0a479dede202f08453d8e9294789 |                  1 |                           1 |                         1 |           0
 Glowing Anemone         | glowing anemone         | battle_rule_v1:46f72af38480db246db05647ca909365 |                  1 |                           1 |                         1 |           0
 Iceridge Serpent        | iceridge serpent        | battle_rule_v1:1a9f0a479dede202f08453d8e9294789 |                  1 |                           1 |                         1 |           0
 Man-o'-War              | man-o'-war              | battle_rule_v1:d8d9647e557e324a29e260afaf2e51fe |                  1 |                           1 |                         1 |           0
 Mist Raven              | mist raven              | battle_rule_v1:f38ecdc92c12a16c51a4bcb6c709ecd3 |                  1 |                           1 |                         1 |           0
 Peerless Ropemaster     | peerless ropemaster     | battle_rule_v1:b7bcb54f51fa900014a1503e9a901c69 |                  1 |                           1 |                         1 |           0
 Riddlemaster Sphinx     | riddlemaster sphinx     | battle_rule_v1:4b8d5305977a9d45866ef2aa13fbedc0 |                  1 |                           1 |                         1 |           0
 Separatist Voidmage     | separatist voidmage     | battle_rule_v1:295f6d55ea5bc08f0e80a60ecf4e1ea3 |                  1 |                           1 |                         1 |           0
 Spider-Byte, Web Warden | spider-byte, web warden | battle_rule_v1:6e46258de4dabcd3395dbf2dee1e2368 |                  1 |                           1 |                         1 |           0
 Stern Proctor           | stern proctor           | battle_rule_v1:c172fa7ff58746e04d6b4f8971377d4a |                  1 |                           1 |                         1 |           0
 Surrakar Banisher       | surrakar banisher       | battle_rule_v1:5a0ca4eb4bfd1921c6e830c26749eaff |                  1 |                           1 |                         1 |           0
 Voidwielder             | voidwielder             | battle_rule_v1:295f6d55ea5bc08f0e80a60ecf4e1ea3 |                  1 |                           1 |                         1 |           0
(17 rows)
