        card_name        |     normalized_name     |           oracle_hash            |                logical_rule_key                 |      shadow_handling       | target_card_rows |          canonical_card_id           | existing_rule_rows | expected_rule_rows_before | would_deprecate_shadow_rows
-------------------------+-------------------------+----------------------------------+-------------------------------------------------+----------------------------+------------------+--------------------------------------+--------------------+---------------------------+-----------------------------
 Aether Adept            | aether adept            | 80dffbcb668db400babd48af1e4e9667 | battle_rule_v1:d8d9647e557e324a29e260afaf2e51fe | deprecate_nonmatching_rows |                1 | 71043573-76ca-4ec2-b54e-71baf8c39a52 |                  0 |                         0 |                           0
 Angler Drake            | angler drake            | b1bb06eaf6d1a0a9c943d686a1d50a01 | battle_rule_v1:24fd20f36e87387e5e087563f3be1e90 | deprecate_nonmatching_rows |                1 | 4cb30555-e9d6-4802-95c7-bb8367900ecd |                  0 |                         0 |                           0
 Aven Fogbringer         | aven fogbringer         | 407bd126b7ba242429ecbc6416b939db | battle_rule_v1:10d8fac1e5b63846033d7839bab6e48e | deprecate_nonmatching_rows |                1 | 2daf2b23-6357-4e08-b6dc-b8740a928e73 |                  0 |                         0 |                           0
 Bigfin Bouncer          | bigfin bouncer          | dfcf28d5e43894395491c58dcbe280c2 | battle_rule_v1:1a9f0a479dede202f08453d8e9294789 | deprecate_nonmatching_rows |                1 | 467d2ebe-c29a-4cd0-bc4c-47696cb86d50 |                  0 |                         0 |                           0
 Dispersal Technician    | dispersal technician    | 71a9f2b3e26dac021c5392799a75ed84 | battle_rule_v1:eb5271e3e1214d5399abd013e7879111 | deprecate_nonmatching_rows |                1 | f15cfac7-e784-47be-8885-be0974a7563a |                  0 |                         0 |                           0
 Exclusion Mage          | exclusion mage          | dfcf28d5e43894395491c58dcbe280c2 | battle_rule_v1:1a9f0a479dede202f08453d8e9294789 | deprecate_nonmatching_rows |                1 | 9f01154e-2ae5-4a8e-8b9f-84f95658a631 |                  0 |                         0 |                           0
 Glowing Anemone         | glowing anemone         | 3b901f8a7d868cc2c471766c3fc0a077 | battle_rule_v1:46f72af38480db246db05647ca909365 | deprecate_nonmatching_rows |                1 | c093ff15-8774-4ab6-b575-34dcc2bf1919 |                  0 |                         0 |                           0
 Iceridge Serpent        | iceridge serpent        | dfcf28d5e43894395491c58dcbe280c2 | battle_rule_v1:1a9f0a479dede202f08453d8e9294789 | deprecate_nonmatching_rows |                1 | ad31e5e0-0ec4-41c0-b5e3-d300a2076dc6 |                  0 |                         0 |                           0
 Man-o'-War              | man-o'-war              | 80dffbcb668db400babd48af1e4e9667 | battle_rule_v1:d8d9647e557e324a29e260afaf2e51fe | deprecate_nonmatching_rows |                1 | deb272e2-3a84-4fee-a18e-55da39d3a103 |                  0 |                         0 |                           0
 Mist Raven              | mist raven              | 9d19914ae2c408659fabca985c80f7ee | battle_rule_v1:f38ecdc92c12a16c51a4bcb6c709ecd3 | deprecate_nonmatching_rows |                1 | 8c52c2b1-127d-42f7-9ff0-2c0f6f4074e8 |                  0 |                         0 |                           0
 Peerless Ropemaster     | peerless ropemaster     | 28e22b0ca1e5320c2bd775ae39efa76b | battle_rule_v1:b7bcb54f51fa900014a1503e9a901c69 | deprecate_nonmatching_rows |                1 | 1650e608-8b6c-4c50-8a46-b41ecf32e3e3 |                  0 |                         0 |                           0
 Riddlemaster Sphinx     | riddlemaster sphinx     | 5486c89cfd56ff67762468ac78e76c07 | battle_rule_v1:4b8d5305977a9d45866ef2aa13fbedc0 | deprecate_nonmatching_rows |                1 | fd2580bf-c625-4f86-aac6-7f24d991a9d7 |                  0 |                         0 |                           0
 Separatist Voidmage     | separatist voidmage     | 08a159153816185848d470ebe16c22d9 | battle_rule_v1:295f6d55ea5bc08f0e80a60ecf4e1ea3 | deprecate_nonmatching_rows |                1 | 1ed99228-8f68-4b9f-8a14-d954bee53bb4 |                  0 |                         0 |                           0
 Spider-Byte, Web Warden | spider-byte, web warden | 196787a37dabfb3760dd252f2ab94c10 | battle_rule_v1:6e46258de4dabcd3395dbf2dee1e2368 | deprecate_nonmatching_rows |                1 | 5055f0fc-579a-4d6f-beee-2c331f5d1f80 |                  0 |                         0 |                           0
 Stern Proctor           | stern proctor           | 415f5023face93de34ffc21dd349f183 | battle_rule_v1:c172fa7ff58746e04d6b4f8971377d4a | deprecate_nonmatching_rows |                1 | 5cc86ab3-ad8e-457f-9183-6e59ccb06961 |                  0 |                         0 |                           0
 Surrakar Banisher       | surrakar banisher       | a6fa2bc7f23f9732e426b634020f05df | battle_rule_v1:5a0ca4eb4bfd1921c6e830c26749eaff | deprecate_nonmatching_rows |                1 | dc28356a-2700-4e7d-b7e6-3e53069b87b4 |                  0 |                         0 |                           0
 Voidwielder             | voidwielder             | 08a159153816185848d470ebe16c22d9 | battle_rule_v1:295f6d55ea5bc08f0e80a60ecf4e1ea3 | deprecate_nonmatching_rows |                1 | 95e7e8c6-056c-43c8-a73a-45c326995818 |                  0 |                         0 |                           0
(17 rows)
