       card_name        |    normalized_name     |           oracle_hash            |                logical_rule_key                 |      shadow_handling       | target_card_rows |          canonical_card_id           | existing_rule_rows | expected_rule_rows_before | would_deprecate_shadow_rows
------------------------+------------------------+----------------------------------+-------------------------------------------------+----------------------------+------------------+--------------------------------------+--------------------+---------------------------+-----------------------------
 Ballyrush Banneret     | ballyrush banneret     | 589c49cee1133cebf35e67323cdeb6ad | battle_rule_v1:d9038ce0eaf069a46c6adec11dfe830a | deprecate_nonmatching_rows |                1 | 00aa5d12-6158-47bd-8c8a-5d6eb4db14a9 |                  0 |                         0 |                           0
 Bosk Banneret          | bosk banneret          | d3324f2d1b46468d7f05127501069a3d | battle_rule_v1:1082b4a59a4e4ab45b36cec3ceb31fd8 | deprecate_nonmatching_rows |                1 | 649b9df4-16a8-4a3d-896e-460404b3b838 |                  0 |                         0 |                           0
 Dragonlord's Servant   | dragonlord's servant   | 993790878a196bc1041b1293108367cb | battle_rule_v1:ec77f894d6594b7dd449e88da78f7a8e | deprecate_nonmatching_rows |                1 | fec897a0-953a-446e-92d7-694464402666 |                  1 |                         0 |                           1
 Dragonspeaker Shaman   | dragonspeaker shaman   | d684de81aea07cbc6905869004f5aeb4 | battle_rule_v1:3a0439051970f6c4ec1bf8ffc0efe3e3 | deprecate_nonmatching_rows |                1 | edde63eb-d6a0-42f4-abc1-d492e4426384 |                  1 |                         0 |                           1
 Emerald Medallion      | emerald medallion      | 64d37738e6d200489451c7be9b5da3c9 | battle_rule_v1:d1575b7e349debdcc00cb11a81a98d63 | deprecate_nonmatching_rows |                1 | 4f9de609-6e35-4040-ab44-8014567d23cb |                  2 |                         0 |                           2
 Etherium Sculptor      | etherium sculptor      | ea60d391afb6f2d73cdd177b45a726b7 | battle_rule_v1:8dc1c1998408b6b4f9e1541bfc587170 | deprecate_nonmatching_rows |                1 | 1ea2af9d-2d61-4cd6-b5fb-7ecdaa78cb1c |                  0 |                         0 |                           0
 Foundry Inspector      | foundry inspector      | ea60d391afb6f2d73cdd177b45a726b7 | battle_rule_v1:8dc1c1998408b6b4f9e1541bfc587170 | deprecate_nonmatching_rows |                1 | 7f250d98-c5e3-4711-8b6f-e957027b0677 |                  0 |                         0 |                           0
 Goblin Anarchomancer   | goblin anarchomancer   | 7791d9cf6f6733acb73703aaf966ec7a | battle_rule_v1:69dcc05d941ebeb0ff30d84d2f79a2a4 | deprecate_nonmatching_rows |                1 | d4ac4e73-9b99-4f98-a968-838a12864862 |                  0 |                         0 |                           0
 Goblin Electromancer   | goblin electromancer   | 08a5f3901b3bc8297adecdc0e40b934d | battle_rule_v1:97742df754bd4727c76acdff9b052bcd | deprecate_nonmatching_rows |                1 | 3bdd2dc8-d6a7-4464-a430-4f8bb587043f |                  0 |                         0 |                           0
 Jet Medallion          | jet medallion          | 235bf306c30e7aa38b4ff6eb6f9c9b60 | battle_rule_v1:60eb5ad36259e78de7afd7602355822d | deprecate_nonmatching_rows |                1 | d58cb904-8690-4faf-b826-dec5cc92f739 |                  2 |                         0 |                           2
 Kinjalli's Caller      | kinjalli's caller      | ebac3e19b660e42254f82764f5f431c5 | battle_rule_v1:24778ef9c8f9902d9cc486d10184fcf8 | deprecate_nonmatching_rows |                1 | 9cd09a28-a39c-497d-aaa1-296d4c850cb6 |                  0 |                         0 |                           0
 Knight of the Stampede | knight of the stampede | 4aff3918f7e6039d76a78942acd0e9c3 | battle_rule_v1:e5391f735165a635c5529d0516f52b32 | deprecate_nonmatching_rows |                1 | a63fe84c-f53f-439d-bb38-edde5e0b836b |                  0 |                         0 |                           0
